t,0,1,2,3,4
0,2.338041889917194,2.3829344432882413,1.095890410958904,0.33444816053511706,1.7721518987341771
1,4.968339016074038,3.0176899063475546,1.643835616438356,4.3478260869565215,2.5316455696202533
2,1.169020944958597,0.8428720083246618,1.917808219178082,1.6722408026755853,1.2658227848101267
3,0.6819288845591817,0.603537981269511,0.273972602739726,0.6688963210702341,1.0126582278481013
4,0.24354603019970775,0.19771071800208118,0.273972602739726,0.6688963210702341,0.25316455696202533
5,0.1948368241597662,0.3433922996878252,0.547945205479452,0.33444816053511706,0.25316455696202533
6,1.1203117389186557,0.8116545265348595,0.273972602739726,0.0,0.759493670886076
7,0.4870920603994155,0.15608740894901144,0.273972602739726,0.0,0.5063291139240507
8,0.4870920603994155,0.3433922996878252,0.0,1.0033444816053512,0.25316455696202533
9,0.24354603019970775,0.33298647242455776,0.547945205479452,6.0200668896321075,0.0
10,0.43838285435947394,0.3537981269510926,0.273972602739726,0.0,0.0
11,0.3896736483195324,0.2081165452653486,0.547945205479452,0.0,0.759493670886076
12,1.509985387238188,0.72840790842872,1.095890410958904,0.0,1.518987341772152
13,1.0228933268387725,0.6347554630593132,1.36986301369863,0.33444816053511706,0.759493670886076
14,0.7793472966390648,0.6555671175858481,1.095890410958904,0.0,1.0126582278481013
15,1.169020944958597,0.9781477627471384,3.5616438356164384,0.33444816053511706,1.2658227848101267
16,1.3638577691183633,1.5608740894901145,1.36986301369863,2.0066889632107023,1.0126582278481013
17,2.581587920116902,1.4255983350676378,1.917808219178082,1.3377926421404682,2.5316455696202533
18,2.873843156356551,2.206035379812695,4.109589041095891,1.6722408026755853,6.329113924050633
19,2.045786653677545,2.3517169614984392,5.7534246575342465,2.3411371237458196,5.3164556962025316
20,2.386751095957136,2.976066597294485,3.0136986301369864,4.013377926421405,5.3164556962025316
21,2.484169508037019,2.63267429760666,3.287671232876712,3.0100334448160537,4.810126582278481
22,3.7018996590355577,3.5379812695109263,3.5616438356164384,3.3444816053511706,9.620253164556962
23,2.4354603019970775,3.433922996878252,3.0136986301369864,4.013377926421405,7.0886075949367084
24,3.117389186556259,4.0062434963579605,1.917808219178082,4.682274247491639,6.8354430379746836
25,2.484169508037019,3.7356919875130075,3.0136986301369864,5.68561872909699,6.329113924050633
26,3.117389186556259,3.3090530697190426,2.4657534246575343,5.351170568561873,3.2911392405063293
27,2.338041889917194,3.121748178980229,2.4657534246575343,4.3478260869565215,2.5316455696202533
28,2.289332683877253,3.340270551508845,1.36986301369863,4.3478260869565215,2.0253164556962027
29,2.289332683877253,3.267429760665973,3.0136986301369864,5.68561872909699,2.278481012658228
30,2.289332683877253,3.3506763787721123,4.109589041095891,5.68561872909699,1.518987341772152
31,2.581587920116902,3.6004162330905305,3.5616438356164384,4.682274247491639,2.0253164556962027
32,3.2148075986361424,4.120707596253903,2.191780821917808,4.013377926421405,1.7721518987341771
33,4.627374573794447,3.444328824141519,2.4657534246575343,3.678929765886288,1.518987341772152
34,5.7963955187530445,3.3090530697190426,3.287671232876712,1.6722408026755853,1.518987341772152
35,4.676083779834388,2.882414151925078,3.835616438356164,2.3411371237458196,1.518987341772152
36,5.114466634193863,2.7887617065556713,3.0136986301369864,1.0033444816053512,2.278481012658228
37,2.7764247442766683,2.934443288241415,2.4657534246575343,1.6722408026755853,1.2658227848101267
38,2.4354603019970775,2.8720083246618104,3.0136986301369864,0.33444816053511706,1.2658227848101267
39,1.9970774476376034,2.924037460978148,4.109589041095891,2.0066889632107023,0.5063291139240507
40,1.7535314174378958,2.5078043704474506,1.917808219178082,1.0033444816053512,1.0126582278481013
41,1.7048222113979543,2.455775234131113,1.643835616438356,0.6688963210702341,1.0126582278481013
42,2.1919142717973696,2.195629552549428,3.0136986301369864,0.0,0.5063291139240507
43,1.2664393570384802,2.0187304890738815,1.36986301369863,1.3377926421404682,1.2658227848101267
44,1.3638577691183633,1.6337148803329864,0.547945205479452,1.3377926421404682,0.759493670886076
45,0.8767657087189479,1.1446409989594173,1.643835616438356,0.0,0.5063291139240507
46,1.3638577691183633,1.259105098855359,1.917808219178082,0.33444816053511706,0.5063291139240507
47,1.2177301509985388,1.0613943808532778,0.821917808219178,0.6688963210702341,0.0
