t,0,1,2,3,4
0,2.0642201834862384,1.6100178890876566,0.9823182711198428,0.4728132387706856,1.6985138004246285
1,1.2996941896024465,0.7751937984496124,1.768172888015717,2.600472813238771,1.6985138004246285
2,0.0,0.20870602265951102,0.0,0.0,0.0
3,0.1529051987767584,0.08944543828264759,0.19646365422396855,0.4728132387706856,0.21231422505307856
4,0.0,0.1490757304710793,0.19646365422396855,0.0,0.42462845010615713
5,0.1529051987767584,0.17889087656529518,0.3929273084479371,0.0,0.0
6,0.0,0.11926058437686345,0.0,0.0,0.21231422505307856
7,0.0764525993883792,0.17889087656529518,0.0,0.0,0.21231422505307856
8,0.0764525993883792,0.05963029218843172,0.19646365422396855,0.0,0.0
9,0.0764525993883792,0.02981514609421586,0.19646365422396855,0.4728132387706856,0.0
10,0.0,0.02981514609421586,0.0,0.0,0.21231422505307856
11,0.1529051987767584,0.02981514609421586,0.0,0.0,0.0
12,0.0764525993883792,0.11926058437686345,0.0,0.0,0.21231422505307856
13,0.3058103975535168,0.11926058437686345,0.19646365422396855,0.0,0.0
14,0.1529051987767584,0.08944543828264759,0.19646365422396855,0.0,0.0
15,0.3058103975535168,0.2981514609421586,0.19646365422396855,0.2364066193853428,0.42462845010615713
16,0.22935779816513763,0.20870602265951102,0.19646365422396855,0.0,0.42462845010615713
17,0.6116207951070336,0.3875968992248062,1.37524557956778,0.0,0.6369426751592356
18,0.6880733944954128,0.7453786523553966,0.7858546168958742,0.4728132387706856,2.5477707006369426
19,0.6116207951070336,0.655933214072749,0.3929273084479371,0.4728132387706856,1.6985138004246285
20,0.9174311926605505,1.2224209898628504,0.3929273084479371,0.7092198581560284,2.5477707006369426
21,1.070336391437309,1.4609421586165772,1.5717092337917484,0.9456264775413712,2.9723991507430996
22,0.9938837920489296,1.7590936195587359,0.19646365422396855,1.1820330969267139,2.9723991507430996
23,1.146788990825688,2.23613595706619,1.37524557956778,1.4184397163120568,5.095541401273885
24,2.140672782874618,3.041144901610018,2.5540275049115913,2.127659574468085,7.218683651804671
25,2.293577981651376,2.23613595706619,0.7858546168958742,3.309692671394799,4.033970276008493
26,2.8287461773700304,3.1604054859868813,2.5540275049115913,3.309692671394799,2.9723991507430996
27,2.981651376146789,3.3989266547406083,2.357563850687623,5.4373522458628845,2.760084925690021
28,3.4403669724770642,4.144305307096005,1.37524557956778,4.964539007092198,5.732484076433121
29,2.675840978593272,3.1604054859868813,1.5717092337917484,4.964539007092198,4.45859872611465
30,3.363914373088685,4.293381037567084,1.5717092337917484,4.491725768321513,1.910828025477707
31,3.1345565749235473,4.3231961836613,3.536345776031434,6.382978723404255,3.1847133757961785
32,3.5168195718654434,5.18783542039356,2.75049115913556,5.4373522458628845,3.397027600849257
33,5.886850152905199,5.098389982110913,3.3398821218074657,5.91016548463357,4.670912951167728
34,7.033639143730887,4.382826475849732,5.50098231827112,4.25531914893617,2.760084925690021
35,6.804281345565749,4.353011329755516,5.304518664047151,7.328605200945627,2.760084925690021
36,6.345565749235474,4.3231961836613,8.644400785854616,4.0189125295508275,2.760084925690021
37,5.504587155963303,4.353011329755516,8.25147347740668,2.600472813238771,2.760084925690021
38,3.5168195718654434,3.7268932617769828,6.4833005893909625,3.7825059101654848,3.397027600849257
39,4.663608562691132,4.591532498509243,6.8762278978389,3.0732860520094563,2.9723991507430996
40,4.051987767584098,3.9355992844364938,4.322200392927308,2.8368794326241136,2.5477707006369426
41,3.5168195718654434,3.7865235539654143,5.50098231827112,2.3640661938534278,3.397027600849257
42,3.058103975535168,3.070960047704234,2.5540275049115913,3.7825059101654848,2.9723991507430996
43,3.9755351681957185,3.45855694692904,3.536345776031434,2.3640661938534278,2.1231422505307855
44,2.217125382262997,2.892069171138939,2.5540275049115913,1.8912529550827424,2.5477707006369426
45,2.90519877675841,2.3255813953488373,2.5540275049115913,2.600472813238771,1.910828025477707
46,1.3761467889908257,2.2957662492546214,2.9469548133595285,1.6548463356973995,1.4861995753715498
47,1.6055045871559632,1.6994633273703041,1.768172888015717,1.6548463356973995,1.0615711252653928
