122
795,j,802,0.017333333333333333
972,j,973,0.002625
994,j,1009,0.083625
1010,c,0.5
123
883,j,899,0.07645833333333334
1297,j,1312,0.09395833333333334
124
579,j,595,0.056125
710,j,717,0.03279166666666666
737,j,756,0.09916666666666667
757,c,0.5
955,j,970,0.06866666666666667
1114,j,1116,0.0032083333333333334
125
777,j,789,0.025208333333333333
822,j,836,0.091875
894,c,0.33
1026,j,1044,0.06404166666666666
1184,j,1185,0.0033333333333333335
1204,j,1215,0.10229166666666667
1216,c,0.33
126
558,j,573,0.078625
721,j,723,0.008208333333333333
844,j,858,0.10004166666666667
1129,j,1147,0.09475
1148,c,0.58
127
610,j,685,0.22679166666666667
685,c,0.75
748,j,753,0.0018333333333333333
770,c,0.83
799,j,840,0.10004166666666667
896,c,0.66
944,j,958,0.06125
1011,j,1043,0.11141666666666666
128
908,j,929,0.07825
956,j,979,0.11704166666666667
997,j,1001,0.006833333333333334
1004,j,1037,0.18941666666666668
1169,j,1180,0.1015
129
762,c,0.25
975,j,1007,0.101875
130
805,j,814,0.012875
843,j,853,0.05325
933,c,0.58
999,j,1025,0.068
1198,j,1199,0.002875
1223,j,1243,0.09295833333333334
1243,c,0.5
131
586,j,599,0.073
675,j,683,0.031208333333333334
731,j,743,0.020041666666666666
793,j,809,0.09008333333333333
959,j,976,0.050541666666666665
1130,j,1133,0.0025416666666666665
1149,j,1164,0.09133333333333334
132
777,j,794,0.067625
821,j,828,0.02666666666666667
875,j,882,0.016416666666666666
993,j,1008,0.08725
1009,c,0.25
1145,c,0.5
133
717,j,732,0.06408333333333334
780,j,790,0.0285
816,j,829,0.09254166666666666
1165,j,1167,0.0022083333333333334
1191,j,1205,0.08958333333333333
134
550,c,0.83
619,j,639,0.08133333333333333
712,j,731,0.094875
774,j,780,0.016916666666666667
813,j,815,0.00020833333333333335
826,j,848,0.09979166666666667
962,c,0.66
1148,j,1162,0.091
1165,j,1167,0.001958333333333333
1325,j,1345,0.10408333333333333
135
649,j,665,0.05979166666666667
723,j,757,0.12329166666666666
767,c,0.5
937,j,952,0.05441666666666667
1046,j,1059,0.09766666666666667
