t,0,1,2,3,4
0,0.9641651936365098,1.0803511141120865,0.9773434029320303,1.9607843137254901,0.7853403141361257
1,1.590872569500241,0.7596218771100608,1.1106175033318526,1.6106442577030813,2.8795811518324608
2,0.1124859392575928,0.4051316677920324,0.0,0.1400560224089636,0.0
3,0.032138839787883657,0.28696826468602293,0.1332741003998223,0.0700280112044818,0.0
4,0.08034709946970914,0.1688048615800135,0.0,0.1400560224089636,0.0
5,0.04820825968182549,0.1688048615800135,0.0444247001332741,0.0700280112044818,0.0
6,0.04820825968182549,0.2363268062120189,0.0444247001332741,0.0,0.0
7,0.0,0.08440243079000675,0.0444247001332741,0.0,0.0
8,0.04820825968182549,0.01688048615800135,0.0888494002665482,0.0,0.0
9,0.032138839787883657,0.01688048615800135,0.0444247001332741,0.0,0.0
10,0.09641651936365098,0.05064145847400405,0.0888494002665482,0.1400560224089636,0.0
11,0.08034709946970914,0.05064145847400405,0.0444247001332741,0.1400560224089636,0.0
12,0.06427767957576731,0.0337609723160027,0.0888494002665482,0.5602240896358543,0.13089005235602094
13,0.2249718785151856,0.25320729237002026,0.1332741003998223,1.8907563025210083,0.2617801047120419
14,0.35352723766672023,0.21944632005401757,0.3553976010661928,2.1708683473389354,0.6544502617801047
15,0.6749156355455568,0.43889264010803514,0.2665482007996446,2.450980392156863,0.39267015706806285
16,0.6427767957576731,0.7765023632680621,0.3553976010661928,0.9103641456582633,1.1780104712041886
17,1.880122127591194,0.9284267386900743,0.7996446023989338,1.050420168067227,2.094240837696335
18,1.49445605013659,1.0297096556380825,0.9329187027987561,1.1204481792717087,1.8324607329842932
19,1.124859392575928,1.5530047265361242,1.0661928031985783,1.050420168067227,1.5706806282722514
20,0.8034709946970915,1.2153950033760972,1.1106175033318526,0.9103641456582633,0.6544502617801047
21,0.8998875140607424,1.2153950033760972,1.7769880053309641,1.4705882352941178,1.1780104712041886
22,1.221275911939579,1.5192437542201216,2.354509107063527,1.5406162464985995,1.1780104712041886
23,0.9963040334243933,1.4854827819041188,2.4433585073300756,1.6106442577030813,0.7853403141361257
24,1.7676361883336011,2.1944632005401754,2.621057307863172,1.5406162464985995,0.9162303664921466
25,2.1854411055760887,2.211343686698177,2.9320302087960908,1.680672268907563,1.5706806282722514
26,1.8479832878033102,2.515192437542201,3.8205242114615725,2.2408963585434174,1.5706806282722514
27,2.265788205045798,2.6839972991222147,3.020879609062639,1.4005602240896358,2.356020942408377
28,2.1854411055760887,2.886563133018231,3.5539760106619283,1.5406162464985995,1.963350785340314
29,1.3337618511971718,2.5658338960162053,3.5539760106619283,0.9803921568627451,1.963350785340314
30,1.8479832878033102,2.4814314652261986,3.998223011994669,0.9803921568627451,1.5706806282722514
31,2.3622047244094486,3.6799459824442944,5.330964015992892,2.1708683473389354,1.4397905759162304
32,3.1174674594247147,3.5786630654962863,4.353620613060862,2.5210084033613445,2.74869109947644
33,3.278161658364133,4.203241053342336,4.931141714793426,4.831932773109243,4.18848167539267
34,3.9048690342278642,3.764348413234301,4.175921812527766,5.322128851540616,4.057591623036649
35,5.0457978466977345,4.642133693450371,4.664593513993781,5.602240896358543,7.0680628272251305
36,6.7330869355616265,4.490209318028359,3.2874278098622836,4.061624649859944,9.162303664921465
37,5.463602763940222,4.945982444294396,3.68725011106175,5.882352941176471,9.424083769633508
38,5.817130001606942,4.962862930452397,4.398045313194136,3.8515406162464987,5.2356020942408374
39,6.202796079061546,5.030384875084402,3.598400710795202,4.061624649859944,6.020942408376963
40,4.9172424875462,5.334233625928427,3.420701910262106,3.291316526610644,5.104712041884817
41,4.579784669773421,4.608372721134368,3.909373611728121,2.73109243697479,3.0104712041884816
42,5.399325084364454,4.186360567184335,3.2430031097290093,3.361344537815126,4.18848167539267
43,5.061867266591676,4.169480081026333,2.8431808085295422,11.134453781512605,2.6178010471204187
44,4.049493813273341,3.561782579338285,3.2430031097290093,4.341736694677871,3.0104712041884816
45,2.81214848143982,2.6671168129642133,2.354509107063527,2.310924369747899,2.225130890052356
46,2.2979270448336817,2.987846049966239,2.7099067081297203,1.680672268907563,1.5706806282722514
47,2.0086774867427284,1.6542876434841323,2.0435362061306086,1.4705882352941178,1.4397905759162304
