t,0,1,2,3,4
0,2.0202020202020203,1.951219512195122,2.127659574468085,7.6923076923076925,0.0
1,4.039579720493727,2.463646196370629,2.0778072502210434,0.0,0.0
2,4.037965690728672,1.496894948083574,0.0,5.078125,0.0
3,2.0182093456604537,2.5136774132881605,6.096883524524825,4.206907013197148,0.0
4,1.0089192825419964,3.054594180344245,0.0,0.0,0.0
5,0.0,4.134793604774351,1.911959966087889,0.0,0.0
6,6.0529709983100535,3.691694448698271,1.8791937621193762,3.706814722713173,0.0
7,0.0,2.6837493351536996,0.0,0.0,0.0
8,3.024869049887203,4.348056022582325,0.0,0.0,0.0
9,9.072332243623084,1.1090265991235615,0.0,0.0,0.0
10,1.0073024557589372,2.7863325577177807,1.848650807625167,0.0,0.0
11,1.0072283662399115,3.3853609747775244,3.6401921333164533,3.368800692700181,0.0
12,3.0214651174615086,2.8633760866635707,0.0,0.0,0.0
13,3.0208120571285395,1.1595384493117105,1.7673356668564262,0.0,0.0
14,5.033631891949289,4.078256847322815,3.4873776215599883,0.0,66.66666666666667
15,5.031928176032413,4.741577585592785,0.0,0.0,0.0
16,3.0181870999984586,1.813107372801796,0.0,0.0,0.0
17,1.005878317520746,3.0436785747691775,0.0,0.0,0.0
18,1.0058188447385203,2.464289659578166,0.0,0.0,0.0
19,2.0115199611739953,3.731740816807354,1.699609047063113,0.0,0.0
20,0.0,2.5234266860784977,0.0,0.0,0.0
21,1.0056434635582134,3.183941972119092,3.359274245110126,0.0,0.0
22,2.0111727867811084,1.9327159742531674,1.6421455041172917,0.0,0.0
23,4.021893705665547,2.594796077254733,3.2500196693631676,0.0,0.0
24,1.0052521348430965,3.927999972725535,1.592658258945759,3.119837145210322,0.0
25,3.0155971894484908,1.327338260811337,3.155531391738814,5.852609246632636,0.0
26,0.0,2.6665808004680955,3.099031163652207,0.0,0.0
27,0.0,2.0178728252059366,1.5235697090208142,0.0,0.0
28,2.0100829798567297,3.3854859830580133,0.0,0.0,0.0
29,1.004939651222361,3.422904591238016,3.0230249010918064,0.0,0.0
30,1.0048897679780007,2.768210643230083,2.9769912426724034,0.0,0.0
31,3.0145211800757328,4.188017266745625,1.467159495644892,0.0,0.0
32,2.009387587564305,2.827776354474493,1.4571720748188681,0.0,0.0
33,4.0183961740271075,2.851405857202183,0.0,0.0,0.0
34,2.0088268401681084,1.437472624066585,4.3425868496959,2.629821014945508,0.0
35,3.0129731361786267,2.886616092506774,0.0,0.0,0.0
36,2.008387079941246,2.909997279755504,0.0,2.521735943610734,0.0
37,1.0041089713877567,1.4666286566201865,1.4199334891681397,0.0,0.0
38,1.0040675450164096,1.4723875892421272,1.4115169295512935,2.4285426537673227,0.0
39,0.0,2.2171935174010224,1.4033652981954183,0.0,0.0
40,0.0,2.23009561260472,5.581863998766379,0.0,0.0
41,0.0,4.485864732172761,0.0,0.0,0.0
42,2.0080530793390388,4.537227707586651,0.0,0.0,0.0
43,1.0039453656129458,0.7646629769261385,4.095981764623368,0.0,0.0
44,2.0078112031990263,2.2981244864247583,1.3451980638376804,2.3471147471405582,0.0
45,3.0114806531995333,2.310547509437684,1.3389803776741973,0.0,0.0
46,0.0,0.7742940373528769,0.0,2.275177438601383,0.0
47,2.0074224216295087,1.5512991682749881,1.332930365707894,0.0,1.477832512315271
