Cluster,MEA,NTS
1,25.357313820693427,12.119625969232953
2,61.300690692744304,74.93124434429284
3,5.2725158996102035,7.180751965080999
4,6.284620118990631,3.789989176529037
5,1.7848594679614307,1.9783885448641743
