125
779,j,805,0.081
918,j,945,0.09629166666666666
964,c,0.83
126
449,j,481,0.12945833333333334
929,j,970,0.13129166666666667
1163,c,0.75
127
509,j,544,0.06933333333333333
585,j,595,0.021291666666666667
610,j,616,0.0135
675,j,681,0.01475
778,j,792,0.05708333333333333
837,j,856,0.083875
938,j,945,0.013833333333333333
945,c,0.66
128
509,j,511,0.00375
511,j,518,0.012833333333333334
519,c,0.83
829,j,833,0.006541666666666667
859,j,872,0.00375
884,j,887,0.013375
921,j,928,0.014166666666666666
934,j,942,0.009958333333333333
975,j,988,0.023708333333333335
129
509,j,563,0.3062916666666667
771,j,814,0.287
818,c,0.16
887,j,910,0.089375
948,j,952,0.0055
1149,c,0.83
130
633,j,639,0.019166666666666665
647,j,657,0.025375
692,j,701,0.026166666666666668
719,j,727,0.016375
977,j,985,0.013041666666666667
1033,j,1040,0.014833333333333334
1121,j,1134,0.042375
1215,j,1227,0.050583333333333334
1228,c,0.75
131
696,j,743,0.2955833333333333
872,j,884,0.03308333333333333
132
864,j,906,0.2
908,c,0.58
965,j,990,0.09204166666666666
1202,j,1209,0.019
1220,j,1226,0.021333333333333333
133
558,j,581,0.03879166666666667
649,j,654,0.009208333333333334
675,j,686,0.023625
737,j,742,0.010583333333333333
934,j,939,0.007291666666666667
942,j,959,0.021041666666666667
960,c,0.58
134
508,j,522,0.018541666666666668
934,j,939,0.007458333333333333
941,j,945,0.008125
1060,j,1070,0.021333333333333333
1081,j,1090,0.021416666666666667
135
507,j,543,0.153625
637,j,643,0.018083333333333333
677,j,695,0.044
725,j,743,0.025833333333333333
991,j,995,0.007291666666666667
1004,j,1011,0.0095
1024,j,1028,0.0070416666666666666
1138,j,1144,0.015125
1213,j,1219,0.01775
1220,c,0.5
136
508,j,536,0.07341666666666667
966,j,975,0.019958333333333335
979,j,994,0.051458333333333335
1102,j,1111,0.017416666666666667
1150,j,1156,0.016416666666666666
137
534,j,539,0.009625
680,j,686,0.008166666666666666
705,j,724,0.046125
744,j,746,0.004208333333333333
777,j,783,0.008458333333333333
789,j,792,0.005208333333333333
801,j,802,0.005
806,j,809,0.0050416666666666665
822,j,823,0.0009583333333333333
894,j,908,0.043083333333333335
1261,c,0.58
138
673,j,707,0.14358333333333334
831,j,859,0.13329166666666667
1417,c,0.66
