user,max
9001,5.297
7429,5.815
8084,8.141
26,5.259
8626,6.076
171,4.924
2018,6.205
6578,5.363
1718,5.19
9971,5.491
5246,5.364
7850,5.072
8243,5.581
6063,5.089
3367,4.626
7731,4.964
8236,5.602
3310,5.352
3723,5.585
974,6.019
3009,5.823
668,5.807
1354,5.926
781,5.319
1792,5.761
7024,5.032
2129,5.487
2986,5.334
2814,5.18
3506,6.177
3134,5.005
3967,4.986
7680,4.714
6061,5.628
7900,5.273
7965,5.734
8829,5.974
9052,5.637
7030,5.026
7741,5.93
3849,4.784
8995,4.792
8086,4.9
5275,5.081
5892,4.273
9121,5.156
7016,5.141
252,4.51
1192,5.268
2072,4.324
2638,4.558
890,4.277
6266,5.068
5921,4.047
3482,4.007
7504,4.219
2925,5.162
7541,4.721
9134,4.04
2337,4.026
7017,4.493
4526,4.515
7973,3.758
5439,2.962
5129,4.979
7940,4.201
7739,4.946
5796,4.015
5615,3.762
1103,3.484
2470,2.934
4357,3.813
370,4.254
7627,3.751
7108,3.54
5738,4.527
4297,3.517
5658,6.13
8967,3.61
8419,3.556
545,3.112
6423,4.1
1169,3.026
114,3.573
5395,3.748
1800,8.167
3527,4.537
4336,2.893
8467,4.597
1415,3.046
744,4.361
8317,2.837
8767,3.495
5545,1.33
2980,1.851
7560,1.841
5450,5.05
4296,5.697
