time,index,energy expended
11:38:27,41907,0.8872425343640169
09:16:12,33372,0.296796877031127
15:53:06,57186,0.296796877031127
16:02:06,57726,0.3395092471049582
15:47:20,56840,0.296796877031127
12:03:26,43406,0.37258818088205176
13:03:12,46992,0.8872425343640169
13:41:22,49282,0.5446601039993139
12:22:56,44576,0.37258818088205176
16:56:48,61008,0.5446601039993139
17:45:56,63956,0.37258818088205176
10:39:34,38374,0.5429537399299846
13:52:10,49930,1.200609140976348
21:20:07,76807,0.5446601039993139
20:45:15,74715,0.8872425343640169
19:05:44,68744,0.8872425343640169
16:36:59,59819,0.37258818088205176
16:22:02,58922,0.37258818088205176
18:11:56,65516,0.5446601039993139
00:11:54,714,0.5446601039993139
15:13:58,54838,0.5446601039993139
09:00:18,32418,0.296796877031127
17:52:03,64323,0.296796877031127
18:26:48,66408,0.37258818088205176
17:11:43,61903,0.37258818088205176
13:01:18,46878,0.37258818088205176
06:27:47,23267,0.5446601039993139
09:24:43,33883,0.3395092471049582
11:42:33,42153,0.37258818088205176
18:32:47,66767,0.5446601039993139
15:13:09,54789,1.200609140976348
10:57:20,39440,0.3395092471049582
13:08:14,47294,0.5446601039993139
14:45:37,53137,0.3395092471049582
04:36:59,16619,0.37258818088205176
05:35:04,20104,0.5446601039993139
08:55:46,32146,0.5446601039993139
22:18:49,80329,0.5429537399299846
10:12:20,36740,0.3395092471049582
19:21:38,69698,0.5446601039993139
15:49:14,56954,0.296796877031127
16:35:01,59701,0.3395092471049582
18:07:20,65240,0.37258818088205176
18:03:52,65032,0.5446601039993139
17:08:30,61710,1.200609140976348
17:27:09,62829,0.5446601039993139
09:59:19,35959,0.3395092471049582
08:03:40,29020,0.5446601039993139
15:58:05,57485,0.5429537399299846
17:38:14,63494,0.5446601039993139
15:31:14,55874,0.5429537399299846
13:52:59,49979,0.5429537399299846
17:33:23,63203,0.5446601039993139
17:50:46,64246,0.5446601039993139
11:44:23,42263,0.3395092471049582
08:17:16,29836,0.296796877031127
10:49:43,38983,0.37258818088205176
13:08:27,47307,0.3395092471049582
09:10:52,33052,0.296796877031127
08:49:18,31758,0.296796877031127
21:00:15,75615,0.3395092471049582
10:19:58,37198,0.37258818088205176
10:06:33,36393,0.3395092471049582
09:58:27,35907,0.37258818088205176
11:32:51,41571,0.296796877031127
11:23:13,40993,0.5429537399299846
22:20:24,80424,0.5429537399299846
12:29:20,44960,0.37258818088205176
17:45:00,63900,0.5429537399299846
15:52:49,57169,0.5429537399299846
12:31:06,45066,0.3395092471049582
17:12:06,61926,0.5446601039993139
13:47:22,49642,0.37258818088205176
11:23:37,41017,0.3395092471049582
07:34:16,27256,0.5446601039993139
20:37:15,74235,0.8872425343640169
13:26:08,48368,0.8872425343640169
08:57:58,32278,0.296796877031127
14:41:37,52897,0.5429537399299846
14:46:22,53182,0.37258818088205176
23:32:47,84767,0.5429537399299846
15:17:38,55058,0.296796877031127
09:22:50,33770,0.5446601039993139
15:35:35,56135,0.296796877031127
09:11:37,33097,1.200609140976348
08:13:03,29583,0.296796877031127
19:07:31,68851,0.5429537399299846
15:02:37,54157,0.37258818088205176
16:14:22,58462,0.37258818088205176
15:25:19,55519,0.5429537399299846
17:14:50,62090,0.8872425343640169
08:59:25,32365,0.296796877031127
20:03:38,72218,0.5446601039993139
08:16:09,29769,0.5446601039993139
12:47:44,46064,0.37258818088205176
16:46:30,60390,0.5429537399299846
13:22:56,48176,0.8872425343640169
11:16:29,40589,0.5429537399299846
15:45:16,56716,0.5446601039993139
14:34:31,52471,0.3395092471049582
18:04:44,65084,0.3395092471049582
19:15:21,69321,0.5429537399299846
20:02:37,72157,0.5429537399299846
20:22:15,73335,0.5429537399299846
08:01:45,28905,0.296796877031127
16:59:13,61153,0.8872425343640169
09:42:13,34933,0.5429537399299846
08:44:46,31486,0.5446601039993139
15:02:31,54151,0.37258818088205176
16:28:17,59297,0.5429537399299846
21:11:52,76312,0.5429537399299846
18:54:51,68091,0.3395092471049582
16:20:25,58825,0.37258818088205176
07:45:24,27924,1.200609140976348
10:08:36,36516,0.3395092471049582
13:45:11,49511,0.8872425343640169
20:15:26,72926,0.37258818088205176
10:27:41,37661,0.5429537399299846
14:53:22,53602,0.3395092471049582
15:30:13,55813,0.296796877031127
13:12:41,47561,0.37258818088205176
17:33:50,63230,0.8872425343640169
10:26:33,37593,1.200609140976348
18:43:36,67416,0.5446601039993139
13:54:44,50084,0.3395092471049582
20:21:03,73263,0.5429537399299846
20:31:11,73871,0.8872425343640169
06:37:16,23836,0.5446601039993139
11:57:24,43044,0.37258818088205176
09:18:39,33519,0.296796877031127
17:09:10,61750,0.37258818088205176
14:44:19,53059,0.296796877031127
19:57:15,71835,0.37258818088205176
15:43:59,56639,0.3395092471049582
18:34:01,66841,0.37258818088205176
11:48:13,42493,0.3395092471049582
10:17:03,37023,0.296796877031127
09:02:02,32522,0.8872425343640169
19:44:30,71070,0.37258818088205176
08:37:19,31039,0.5446601039993139
08:50:42,31842,0.5446601039993139
17:04:04,61444,0.5446601039993139
18:04:17,65057,0.5446601039993139
12:02:37,43357,0.3395092471049582
08:42:41,31361,0.296796877031127
16:02:29,57749,0.5429537399299846
16:45:11,60311,0.37258818088205176
15:50:41,57041,0.296796877031127
19:07:45,68865,0.5429537399299846
15:48:22,56902,0.3395092471049582
06:34:35,23675,0.37258818088205176
12:58:51,46731,0.8872425343640169
07:42:15,27735,0.37258818088205176
09:04:45,32685,0.5446601039993139
18:33:25,66805,0.5429537399299846
15:00:50,54050,0.5429537399299846
23:04:23,83063,0.3395092471049582
14:07:41,50861,0.37258818088205176
16:12:22,58342,0.296796877031127
11:22:22,40942,0.3395092471049582
08:59:08,32348,0.5446601039993139
16:07:51,58071,0.296796877031127
08:39:18,31158,0.5429537399299846
17:04:02,61442,0.37258818088205176
09:51:52,35512,0.37258818088205176
19:34:00,70440,0.8872425343640169
19:26:45,70005,0.5429537399299846
19:29:53,70193,0.37258818088205176
16:25:59,59159,0.5446601039993139
12:53:38,46418,0.5429537399299846
20:15:42,72942,0.5446601039993139
14:43:17,52997,0.296796877031127
17:53:01,64381,0.5429537399299846
16:11:15,58275,0.296796877031127
13:41:24,49284,0.5429537399299846
15:09:34,54574,0.296796877031127
16:09:05,58145,0.5429537399299846
19:15:48,69348,0.5429537399299846
12:01:00,43260,0.8872425343640169
20:01:49,72109,0.37258818088205176
16:15:38,58538,0.8872425343640169
20:25:30,73530,0.5429537399299846
16:15:58,58558,0.5429537399299846
16:07:44,58064,0.37258818088205176
21:35:31,77731,0.5429537399299846
13:38:32,49112,0.8872425343640169
08:20:18,30018,0.37258818088205176
12:27:19,44839,0.8872425343640169
09:09:44,32984,0.5446601039993139
10:31:59,37919,0.5429537399299846
16:19:14,58754,0.296796877031127
18:18:53,65933,0.5429537399299846
13:16:02,47762,0.5429537399299846
13:11:15,47475,0.3395092471049582
14:14:47,51287,0.3395092471049582
16:25:48,59148,0.37258818088205176
08:18:49,29929,0.296796877031127
06:53:59,24839,0.5429537399299846
11:33:39,41619,0.37258818088205176
17:43:32,63812,0.5446601039993139
16:18:49,58729,0.3395092471049582
17:09:45,61785,0.5446601039993139
09:14:27,33267,0.5446601039993139
19:06:04,68764,0.3395092471049582
08:46:43,31603,0.296796877031127
16:11:43,58303,0.296796877031127
10:21:10,37270,1.200609140976348
15:24:14,55454,0.8872425343640169
13:53:49,50029,0.37258818088205176
15:22:50,55370,0.296796877031127
15:40:19,56419,0.296796877031127
14:45:17,53117,0.5446601039993139
08:37:47,31067,0.296796877031127
15:31:27,55887,0.296796877031127
22:11:12,79872,0.8872425343640169
14:55:17,53717,0.37258818088205176
16:26:04,59164,0.37258818088205176
10:57:42,39462,0.37258818088205176
11:55:17,42917,0.5429537399299846
18:35:04,66904,0.5429537399299846
11:00:45,39645,0.3395092471049582
21:09:37,76177,0.5446601039993139
14:26:12,51972,0.8872425343640169
