North East,0.4218
North West,0.4414
Yorkshire and Humberside,0.4471
East Midlands,0.5039
West Midlands,0.5232
East of England,0.5494
London,0.3078
South East,0.57
South West,0.5653
England,0.4791
Wales,0.4928
Scotland,0.453
Great Britain,0.488
Northern Ireland,0.5013
United Kingdom,0.4886
,
