time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,1.9900987161830186,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,4.012932761091482,1.9900987161830186
1,1.9900987161830186,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,4.012932761091482,1.9900987161830186
2,1.9900987161830186,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,4.012932761091482,1.9900987161830186
3,1.9900987161830186,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,4.012932761091482,1.9900987161830186
4,1.9900987161830186,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,4.012932761091482,1.9900987161830186
5,1.9900987161830186,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,4.012932761091482,1.9900987161830186
6,1.9900987161830186,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,4.012932761091482,1.9900987161830186
7,1.9900987161830186,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,2.985148074274528,1.9900987161830186
8,0.9950493580915093,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,2.985148074274528,1.9900987161830186
9,0.9950493580915093,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,2.985148074274528,0.9950493580915093
10,0.9950493580915093,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,2.985148074274528,0.9950493580915093
11,0.9950493580915093,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,2.985148074274528,0.9950493580915093
12,0.9950493580915093,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,2.985148074274528,0.9950493580915093
13,0.9950493580915093,4.089883512824676,0.9950493580915093,0.9950493580915093,2.985148074274528,2.985148074274528,0.9950493580915093
14,0.9950493580915093,3.095339525920211,0.9950493580915093,0.9950493580915093,2.985148074274528,2.985148074274528,0.9950493580915093
