region,day,month,number
"Rural Village, Hamlet and Isolated Dwelling",Sunday,March,0.8049114937221012
"Rural Village, Hamlet and Isolated Dwelling",Monday,April,1.0396773460577142
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,April,1.0708676664394456
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,April,1.0942604067257442
"Rural Village, Hamlet and Isolated Dwelling",Thursday,April,1.05527250624858
"Rural Village, Hamlet and Isolated Dwelling",Friday,April,1.0240821858668485
"Rural Village, Hamlet and Isolated Dwelling",Saturday,April,1.0890620199954557
"Rural Village, Hamlet and Isolated Dwelling",Sunday,April,0.9045192910702115
"Rural Village, Hamlet and Isolated Dwelling",Monday,May,1.0941765617784813
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,May,1.1243607427930602
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,May,1.0916612133605998
"Rural Village, Hamlet and Isolated Dwelling",Thursday,May,1.1067533038678892
"Rural Village, Hamlet and Isolated Dwelling",Friday,May,1.0916612133605998
"Rural Village, Hamlet and Isolated Dwelling",Saturday,May,1.031292851331442
"Rural Village, Hamlet and Isolated Dwelling",Sunday,May,0.8552184620797325
"Rural Village, Hamlet and Isolated Dwelling",Monday,June,1.1150539536468986
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,June,1.1696370143149286
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,June,1.16443862758464
"Rural Village, Hamlet and Isolated Dwelling",Thursday,June,1.1176531470120428
"Rural Village, Hamlet and Isolated Dwelling",Friday,June,1.1150539536468986
"Rural Village, Hamlet and Isolated Dwelling",Saturday,June,1.12804992047262
"Rural Village, Hamlet and Isolated Dwelling",Sunday,June,0.8291426834810272
"Rural Village, Hamlet and Isolated Dwelling",Monday,July,0.968409140884403
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,July,1.1646063174791652
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,July,1.1243607427930602
"Rural Village, Hamlet and Isolated Dwelling",Thursday,July,1.1646063174791652
"Rural Village, Hamlet and Isolated Dwelling",Friday,July,1.0992072586142445
"Rural Village, Hamlet and Isolated Dwelling",Saturday,July,1.136937484882468
"Rural Village, Hamlet and Isolated Dwelling",Sunday,July,0.8300649779009168
"Rural Village, Hamlet and Isolated Dwelling",Monday,August,0.9633784440486399
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,August,0.9055254304373639
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,August,1.0011086703168635
"Rural Village, Hamlet and Isolated Dwelling",Thursday,August,0.9331942630340611
"Rural Village, Hamlet and Isolated Dwelling",Friday,August,1.1243607427930602
"Rural Village, Hamlet and Isolated Dwelling",Saturday,August,1.0916612133605998
"Rural Village, Hamlet and Isolated Dwelling",Sunday,August,0.9583477472128767
