time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,154.4636972959421,130.6850962168805,153.59551693806122,160.49927120959043,156.9072198817026,155.7969303188151,153.47739827087645
1,151.2610482515907,127.53152855720646,145.36747533643262,155.20397707313836,151.727275369475,154.8348512076377,146.26119785214388
2,142.05699262398934,130.740804715435,143.06794496462993,156.32060813926617,149.58554889269695,151.63220216328634,142.089842582738
3,135.7505379916825,125.61724938880295,139.85866880640145,146.06618968508403,146.48174330474157,147.36200343748447,138.98603699478255
4,130.44861674135336,124.60540820590694,134.86206942340334,143.15560828030945,147.72035110897085,143.0851775978055,132.58073890607977
5,127.24596769700197,122.470308843006,128.68325142177156,139.99541350675835,146.65280142752042,137.911860199455,129.37808986172834
6,127.2393405831249,117.18164182043101,126.57694523314974,134.64441087175183,143.44352526929194,133.64166147365316,126.17544081737694
7,125.10424122022395,113.18134467380392,124.60627687915057,127.43651016090963,140.32646545358236,131.5065621107522,119.86898618507007
8,121.11285590624476,111.13846165342184,120.36766146322547,127.44313727478671,136.25395364057235,124.21043235595138,112.38951130103969
9,117.91683397577042,99.59071880342792,116.22509936809867,122.14446796453187,135.29187452939493,119.94023363014949,110.18882438563291
10,113.90328260138918,98.52316912197745,112.98256730598004,116.80671955727951,132.35249995034124,110.43112995349118,110.18219727175583
11,111.81726462316561,97.45561944052697,104.52775908301807,111.72729109546114,125.1429266454857,106.2664017979623,105.91199854595395
12,107.6747025280388,93.17879360084801,102.49150317651306,106.37628846045463,123.00120016870768,101.28414419852655,105.91199854595395
13,104.47205348368738,88.90196776116905,99.28222701828457,98.9956570328202,115.01119030211473,97.11278892912061,97.53603210325194
14,102.33695412078643,82.68110235750395,92.03585933520228,95.89185144486474,111.80191414388622,90.87192184931955,97.66366873392701
15,96.2149321735173,77.44219740664752,90.0651909812031,92.68257528663625,110.8332079188317,82.59479886301348,92.45355695734975
16,91.13383111768557,74.28200263309641,84.6717340753963,91.61502560518578,107.57485037592583,80.45969950011254,90.3184575944488
17,93.10449947168475,71.40158849267146,85.74591087072383,85.09762983233284,101.49487583068998,73.08569518635518,83.91315950574597
18,91.1670870215757,68.35011622946767,80.50037880599034,82.95590335555482,99.35314935391196,67.74794677910282,79.90623524524179
19,87.04973767093477,66.3426534972418,75.45253365404876,75.68331375122654,98.38444312885743,67.85341734937585,75.6360365194399
20,85.0068546505527,62.0525734298087,74.37835685872122,72.48066470687513,88.91116660912235,67.7545738929799,70.29828811218754
21,79.81703108437364,55.76828485790386,70.10815813291933,69.39902517932171,81.48740022364642,64.55855196250556,63.985206366003574
22,72.66287974381022,50.4796178353289,67.96643165614131,66.29521959136625,77.20394727009038,63.49100228105509,59.91269455299358
23,66.39550420850087,42.08377005099568,67.95980454226424,64.16012022846529,68.77130510753044,60.41598986737874,54.838220611038935
24,61.20893258239612,41.11506382594116,64.94821529682764,60.950844070236805,61.29183022350008,53.09431887837306,51.67802583748782
25,58.006283538044705,39.18427848970918,62.64205781114786,58.71027413706284,53.79910111171556,49.89166983402165,48.58084736340943
26,50.68461254903904,37.04917912680824,57.29105517614135,53.40172577285664,46.31962622768518,49.89166983402165,44.304021523730476
27,48.42187655546303,35.18398134308208,56.223505494690876,46.98980057027674,43.15943145413407,45.621471108219765,43.236471842280004
28,47.34769976013548,34.12305877550869,51.203037471501254,47.95850679533127,43.060587997738125,44.5963756975696,40.19825380683035
29,42.16775524790783,32.03704079728512,49.06793810860031,40.479031911300886,38.95482028083802,40.49060798066947,34.84725117182384
30,39.17861859713557,33.11121759261267,42.550542335747394,38.409520100905766,37.88064348551048,36.22040925486759,30.741483454923728
31,33.83424307600614,28.841018866810785,40.67871743814417,37.33534330557822,34.66474021340492,31.950210529065703,27.37440340167055
32,29.550790122450113,28.847645980687865,34.38876897366573,27.714141944769846,30.7167763915295,25.538285326485813,24.17838147119622
33,29.550790122450113,28.847645980687865,34.38876897366573,28.6762210559473,31.784326072979972,22.493440177159098,23.27526279864752
34,30.624966917777652,26.607076047513907,35.456318655116206,27.608671374496826,29.649226710079027,21.425890495708625,23.27526279864752
35,30.624966917777652,28.755429638168998,36.728182363235646,25.571734780950646,30.723403505406573,20.358340814258153,23.27526279864752
36,29.72184824522895,28.748802524291918,33.73904571246338,26.63928446240112,26.54474043508238,20.358340814258153,23.27526279864752
37,28.647671449901413,29.81635220574239,33.79475421101784,28.781010939179136,25.470563639754836,23.396558849707798,23.27526279864752
38,28.66092567765556,26.93593806531744,33.79475421101784,27.70683414385159,25.470563639754836,24.46410853115827,24.349439593975067
39,27.600003110082167,25.910842654667274,33.69591075462189,27.70683414385159,26.5381133212053,24.628539540060036,23.61075193032813
40,27.60663022395924,26.929310951440367,33.597067298225944,27.70683414385159,25.6349946486566,25.568452590835438,22.592283633555045
41,26.532453428631694,26.929310951440367,31.6197718303497,28.781010939179136,26.69591721623,22.694665564287565,20.78604628845764
42,27.60663022395924,25.910842654667277,30.716653157800998,28.830773010897698,26.695917216229997,21.62048876896002,20.621615279555872
43,27.60663022395924,26.985019449994823,32.858379634579016,27.80567760024753,27.770094011557543,21.61386165508294,19.603146982782782
44,27.60663022395924,26.985019449994823,31.83991133780593,27.80567760024753,26.866975339008835,19.643193301083773,18.535597301332313
45,27.60663022395924,28.052569131445296,31.83991133780593,27.80567760024753,25.963856666460135,18.674487076029248,18.535597301332313
46,26.569247806858396,29.12674592677284,31.83991133780593,26.738127918797066,26.13491478923898,19.74203675747972,17.468047619881844
47,26.569247806858396,29.12674592677284,29.75389335958237,26.731500804919985,24.16424643523981,20.80958643893019,17.468047619881844
48,25.550779510085306,29.12674592677284,27.832306390260584,27.634619477468686,25.23179611669028,19.74203675747972,17.468047619881844
49,24.483229828634837,27.320508581675433,26.76475670881011,29.776345954246704,24.157619321362734,19.643193301083773,17.369204163485897
50,22.57461055280491,26.246331786347888,27.838933504137657,29.881816524519724,22.071601343139175,20.71074298253424,17.369204163485897
51,22.739041561706674,25.343213113799187,28.90648318558813,28.97869785197102,22.071601343139175,18.733447514657996,15.398535809486726
52,22.64019810531073,25.343213113799187,30.99912827768876,31.02158087235309,22.071601343139175,19.70215373971252,15.398535809486726
53,21.566021309983185,25.343213113799187,31.170186400467607,29.03440635052548,21.10289511808465,17.560427262934507,15.398535809486726
54,20.547553013210095,25.343213113799187,30.102636719017134,26.94838837230192,23.14577813846672,16.492877581484038,14.330986128036256
55,19.529084716437005,26.410762795249656,29.08484910928523,28.114781510148333,24.219954933794266,17.609508647611886,14.324359014159182
56,18.45490792110946,24.269036318471642,29.08484910928523,27.999431885923947,24.219954933794266,17.609508647611886,14.324359014159182
57,18.45490792110946,23.194859523144096,29.08484910928523,27.999431885923947,26.197250401670512,17.609508647611886,15.385281581732576
58,18.45490792110946,24.269036318471642,29.14055760783969,24.944707682645863,25.123073606342967,17.609508647611886,16.452831263183047
59,18.45490792110946,21.20768500131648,28.07300792638922,25.050178252918883,26.19062328779344,17.609508647611886,14.317731900282105
60,17.38735823965899,21.034954284524296,27.005458244938747,23.976001457591337,27.159329512847965,19.744608010512827,13.414613227733405
61,17.38735823965899,22.109131079851842,27.01208535881582,23.976001457591337,26.140861216074875,20.8121576919633,13.414613227733405
62,17.38735823965899,21.034954284524296,27.01208535881582,23.976001457591337,25.06668442074733,20.8121576919633,13.414613227733405
63,17.38735823965899,21.034954284524296,27.01208535881582,25.050178252918883,25.06668442074733,19.872244641187898,13.414613227733405
64,17.38735823965899,18.89322780774628,26.043379133761295,25.050178252918883,25.06668442074733,20.939794322638363,12.340436432405859
65,17.38735823965899,18.89322780774628,25.07467290870677,22.964160274695324,22.931585057846387,20.939794322638363,13.407986113856328
66,16.313181444331445,18.89322780774628,24.007123227256297,22.86531681829938,22.931585057846387,22.007344004088836,14.426454410629418
