time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,4.89948094839747,2.8848833730628525,2.8518630672426744,3.791477321050173,1.9122488134351756,4.784016301498839,1.8792285076149977
1,4.89948094839747,2.8848833730628525,2.8518630672426744,3.791477321050173,1.9122488134351756,4.784016301498839,1.8792285076149977
2,4.89948094839747,2.8848833730628525,2.8518630672426744,3.791477321050173,1.9122488134351756,4.784016301498839,1.8792285076149977
3,4.89948094839747,2.8848833730628525,2.8518630672426744,3.791477321050173,1.9122488134351756,4.784016301498839,1.8792285076149977
4,4.89948094839747,2.8848833730628525,2.8518630672426744,3.791477321050173,1.9122488134351756,4.784016301498839,1.8792285076149977
5,4.89948094839747,2.8848833730628525,2.8518630672426744,3.791477321050173,1.9122488134351756,4.784016301498839,0.9396142538074989
6,4.89948094839747,2.8848833730628525,2.8518630672426744,3.791477321050173,1.9122488134351756,4.784016301498839,0.9396142538074989
7,4.89948094839747,2.8848833730628525,2.8518630672426744,2.8188427614224967,1.9122488134351756,4.784016301498839,0.9396142538074989
8,4.89948094839747,2.8848833730628525,2.8518630672426744,2.8188427614224967,0.9396142538074989,4.784016301498839,0.9396142538074989
9,4.89948094839747,2.8848833730628525,2.8518630672426744,2.8188427614224967,0.9396142538074989,3.84440204769134,0.9396142538074989
10,3.9598666945899716,2.8848833730628525,2.8518630672426744,2.8188427614224967,0.9396142538074989,3.84440204769134,0.9396142538074989
11,3.9598666945899716,2.8848833730628525,2.8518630672426744,2.8188427614224967,0.9396142538074989,3.84440204769134,0.9396142538074989
12,3.9598666945899716,2.8848833730628525,2.8518630672426744,2.8188427614224967,0.9396142538074989,3.84440204769134,0.9396142538074989
13,2.871767488063663,2.8848833730628525,2.8518630672426744,2.8188427614224967,0,3.84440204769134,0.9396142538074989
14,2.871767488063663,2.8848833730628525,2.8518630672426744,2.8188427614224967,0,2.871767488063663,0.9396142538074989
15,2.871767488063663,2.8848833730628525,2.8518630672426744,2.8188427614224967,0,2.871767488063663,0.9396142538074989
16,2.871767488063663,2.8848833730628525,2.8518630672426744,2.8188427614224967,0,2.871767488063663,0.9396142538074989
17,1.9321532342561643,2.8848833730628525,3.791477321050173,2.8188427614224967,0,2.871767488063663,0.9396142538074989
18,1.9321532342561643,2.8848833730628525,3.791477321050173,1.8792285076149977,0,2.871767488063663,0.9396142538074989
19,1.9321532342561643,2.8848833730628525,3.791477321050173,1.8792285076149977,0,2.871767488063663,0.9396142538074989
20,1.9321532342561643,2.8848833730628525,3.791477321050173,1.8792285076149977,0,2.871767488063663,0.9396142538074989
21,0.9925389804486654,1.9122488134351756,3.791477321050173,1.8792285076149977,0,2.871767488063663,0.9396142538074989
22,0.9925389804486654,1.9122488134351756,3.791477321050173,1.8792285076149977,0,2.871767488063663,0.9396142538074989
23,0.9925389804486654,1.9122488134351756,3.791477321050173,1.8792285076149977,0,2.871767488063663,0.9396142538074989
24,0.9925389804486654,1.9122488134351756,3.791477321050173,1.8792285076149977,0,2.871767488063663,0.9396142538074989
25,0.9925389804486654,1.9122488134351756,3.791477321050173,1.8792285076149977,0,2.871767488063663,0.9396142538074989
26,0.9925389804486654,0.9396142538074989,3.791477321050173,1.8792285076149977,0,2.871767488063663,0.9396142538074989
27,0.9925389804486654,0.9396142538074989,3.791477321050173,1.8792285076149977,0,2.871767488063663,0.9396142538074989
28,0.9925389804486654,0.9396142538074989,3.791477321050173,1.8792285076149977,0,2.871767488063663,0
29,0.9925389804486654,0.9396142538074989,3.791477321050173,1.8792285076149977,0,2.871767488063663,0
30,0.9925389804486654,0.9396142538074989,3.791477321050173,1.8792285076149977,0,1.9321532342561643,0
31,0.9925389804486654,0.9396142538074989,3.791477321050173,1.8792285076149977,0,1.9321532342561643,0
32,0.9925389804486654,0.9396142538074989,2.8518630672426744,1.8792285076149977,0,1.9321532342561643,0
33,0.9925389804486654,0,1.8792285076149977,1.8792285076149977,0,1.9321532342561643,0
34,0.9925389804486654,0,1.8792285076149977,1.8792285076149977,0,1.9321532342561643,0
35,0.9925389804486654,0,1.8792285076149977,1.8792285076149977,0,1.9321532342561643,0
36,0.9925389804486654,0,1.8792285076149977,0.9396142538074989,0,1.9321532342561643,0
37,0.9925389804486654,0,1.8792285076149977,0.9396142538074989,0,1.9321532342561643,0
38,0.9925389804486654,0,1.8792285076149977,0.9396142538074989,0,1.9321532342561643,0
39,0.9925389804486654,0,1.8792285076149977,0.9396142538074989,0,1.9321532342561643,0
40,0,0,1.8792285076149977,0.9396142538074989,0,1.9321532342561643,0
41,0,0,1.8792285076149977,0.9396142538074989,0,1.9321532342561643,0
42,0,0,1.8792285076149977,0.9396142538074989,0,1.9321532342561643,0
43,0,0,1.8792285076149977,0.9396142538074989,0,1.9321532342561643,0
44,0,0,1.8792285076149977,0.9396142538074989,0,1.9321532342561643,0
45,0,0,1.8792285076149977,0,0,0,0
46,0,0,1.8792285076149977,0,0,0,0
47,0,0,1.8792285076149977,0,0,0,0
48,0,0,0.9396142538074989,0,0,0,0
49,0,0,0.9396142538074989,0,0,0,0
50,0,0,0.9396142538074989,0,0,0,0
51,0,0,0.9396142538074989,0,0,0,0
52,0,0,0.9396142538074989,0,0,0,0
53,0,0,0.9396142538074989,0,0,0,0
54,0,0,0.9396142538074989,0,0,0,0
55,0,0,0.9396142538074989,0,0,0,0
56,0,0,0.9396142538074989,0,0,0,0
57,0,0,0.9396142538074989,0,0,0,0
58,0,0,0.9396142538074989,0,0,0,0
59,0,0,0.9396142538074989,0,0,0,0
