,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Commute,0.0019524,0.0014351,0.0013685,0.0017937,0.0060121,0.028193,0.071642,0.15949,0.14023,0.036257,0.016499,0.017441,0.024847,0.032493,0.033484,0.043812,0.090198,0.14758,0.070059,0.0244,0.01674,0.013703,0.012742,0.0076322
Education,1.31E-05,4.78E-05,1.42E-05,0.00010948,8.00E-05,0.00017218,0.0010945,0.057391,0.37436,0.045166,0.0090063,0.014123,0.019006,0.01113,0.057686,0.32554,0.049647,0.02172,0.0067821,0.0025422,0.0025632,0.0011017,0.00041395,0.00028759
Business,0.0013754,0.0006289,0.00033141,0.00076537,0.0029162,0.0114,0.035578,0.078658,0.10287,0.080143,0.065892,0.065772,0.074631,0.071336,0.063819,0.074045,0.085827,0.076487,0.043701,0.022974,0.015018,0.013128,0.007552,0.0051526
Shopping,0.00010608,8.99E-05,1.88E-05,3.27E-05,0.00010354,0.00027558,0.0026942,0.0090338,0.028155,0.075486,0.1221,0.12958,0.10793,0.096951,0.092837,0.082626,0.074444,0.058252,0.050543,0.037044,0.019269,0.0082396,0.0031741,0.0010101
Other escort + personal,0.00055032,0.00024511,0.00019424,0.00025594,0.00062288,0.0024861,0.0079605,0.039758,0.084314,0.080703,0.081074,0.081772,0.078927,0.070612,0.067035,0.083567,0.087993,0.084333,0.056696,0.039661,0.023701,0.015206,0.0079693,0.0043649
Entertainment,0.0024932,0.00099175,0.00061615,0.00051303,0.00027159,0.00076053,0.0045071,0.011688,0.021494,0.043177,0.051803,0.060641,0.064378,0.059407,0.060406,0.073875,0.079161,0.086995,0.10366,0.094938,0.064892,0.049596,0.039184,0.024557
Other,0.00057156,0.0003124,0.00045738,0.00057737,0.0016655,0.0072216,0.021866,0.033913,0.04751,0.074362,0.092352,0.083559,0.066507,0.066785,0.077148,0.085801,0.086096,0.070151,0.070973,0.048077,0.030083,0.018242,0.010227,0.0055421
