,5395,8626,7560,8467,3849,8317,5450,9121,5545,8243,6266,9052,7900,9971,5246,8236,7024,8829,5658,8419,7741,9134,7739,9001,5439,8995,8086,8967,4526,8767,7940,3527,4297,1792,7016,2986,7973,890,1800,6578,171,7731,2980,7030,2018,5892,974,8084,3482,7504,2072,5129,545,7965,2925,7541,2129,6423,1103,114,7627,3009,5275,2337,6061,2470,5615,1169,3967,668,5921,3134,7017,3506,7680,3310,7850,2814,7108,3367,5738,6063,252,4357,26,4336,1192,7429,744,5796,1354,1415,2638,781,370,1718,3723,4296
5395,0.0,-,-,-,-,-,-60(1.07),-60(0.92),-,-,-60(0.91),-,-,-,-60(1.0),-,-,-,-,-,-,-,-,-60(0.94),-,-60(0.91),-60(0.99),-60(0.95),-60(0.94),-,-60(0.98),-,-,-60(0.92),-,-,-,-,-54(0.9),-60(0.92),-60(1.01),-60(0.95),-60(1.0),-,-60(0.91),-60(1.0),-60(0.92),-,-60(1.0),-60(0.97),-,-,-60(0.92),-60(0.91),-,-,-,-,-60(0.93),-,-,-,-60(0.93),-,-,-,-60(0.93),-,-60(0.92),-60(0.92),-,-60(0.93),-60(0.99),-,-60(0.9),-60(0.91),-60(0.91),-60(1.01),-60(0.93),-60(1.0),-60(1.0),-60(1.01),-,-,-,-60(1.0),-60(0.93),-60(0.91),-,-,-,-60(0.91),-,-60(0.93),-60(0.93),-,-60(0.9),-4(0.97)
8626,-,0.0,-,-,-,-,-50(1.03),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2(0.97)
7560,-,-,0.0,-,-,-,-59(1.11),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50(0.91),-,-,-,-,-,-,-,-37(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-7(0.97)
8467,-,-,-,0.0,-,-,-60(1.15),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.9),-,-,-,-,-,-,-,-,0(0.91),-,-,-,-,-,-,0(0.92),-,-37(0.91),-,-,-,-,-,-,-,-33(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.91),-,-,-,-,-,-,-,0(0.91),-,-,-,-,-,-,-,-,-2(0.96)
3849,-,-,-,-,0.0,-,-60(1.08),-60(0.93),-,-,-60(0.91),-,-,-,-60(1.0),-60(0.91),-,-60(0.91),-,-,-,-,-,-60(0.93),-,-60(0.91),-60(0.98),-60(0.98),-60(0.94),-,-60(0.98),-,-,-60(0.92),-,-60(0.91),-60(0.91),-,-60(0.92),-60(0.92),-60(1.0),-60(0.94),-60(0.99),-,-60(0.92),-60(1.0),-60(0.92),-,-60(1.0),-60(0.96),-,-,-60(0.92),-60(0.91),-,-,-,-47(0.9),-60(0.93),-,-59(0.9),-,-60(0.94),-,-,-,-60(0.93),-,-60(0.92),-60(0.92),-,-60(0.93),-60(0.99),-,-60(0.91),-60(0.92),-60(0.91),-60(1.0),-60(0.93),-60(0.99),-60(0.99),-60(1.0),-,-,-,-60(1.0),-60(0.93),-60(0.91),-,-,-,-60(0.92),-,-60(0.93),-60(0.94),-,-60(0.91),-6(0.99)
8317,-,-,-,-,-,0.0,-60(1.14),-60(0.91),-,-,-,-,-,-,-60(0.99),-,-,-,-,-,-,-,-,-60(0.91),-,-,-60(0.98),-60(0.97),-60(0.93),-,-60(0.95),-,-,-47(0.9),-,-60(0.9),-59(0.9),-,-47(0.9),-60(0.91),-60(1.0),-60(0.92),-60(0.98),-,-59(0.9),-60(0.97),-60(0.91),-,-60(0.99),-60(0.95),-,-,-60(0.92),-,-,-,-,-45(0.9),-60(0.93),-,-,-,-60(0.92),-,-,-,-60(0.92),-,-60(0.91),-60(0.91),-,-60(0.91),-60(0.97),-,-,-59(0.93),-,-60(0.98),-50(0.9),-60(0.99),-60(0.97),-60(0.98),-,-,-,-46(0.95),-60(0.92),-,-,-,-,-,-,-59(0.91),-45(0.91),-,-,0(0.98)
5450,-60(1.07),-50(1.03),-59(1.11),-60(1.15),-60(1.08),-60(1.14),0.0,58(1.03),60(1.14),60(1.05),54(1.07),49(1.0),60(1.02),58(1.04),49(1.02),60(1.03),58(1.03),49(1.04),60(1.11),60(1.07),60(1.07),60(1.07),60(1.07),53(1.12),49(1.03),56(1.04),39(1.07),60(1.03),50(1.06),60(1.1),60(1.04),56(1.13),60(1.06),49(1.1),58(1.1),38(1.01),40(1.03),60(1.03),53(1.12),39(1.05),27(1.05),60(1.04),39(1.14),60(1.09),49(1.04),60(1.04),49(1.03),60(1.03),27(1.08),51(1.09),60(1.02),60(1.12),40(1.03),60(1.11),49(1.06),60(1.08),39(1.03),60(1.13),40(1.04),60(1.08),49(1.08),60(1.03),60(1.02),60(1.09),49(1.04),60(1.11),39(1.05),57(1.07),39(1.05),49(1.04),60(1.12),55(1.08),42(1.1),60(1.15),51(1.06),40(1.09),60(1.08),39(1.03),58(1.09),39(1.04),49(1.09),40(1.05),53(1.05),60(1.06),60(1.06),49(1.11),57(1.05),55(1.07),60(1.14),60(1.08),60(1.03),59(1.12),50(1.05),53(1.1),58(1.1),60(1.04),49(1.05),60(1.35)
9121,-60(0.92),-,-,-,-60(0.93),-60(0.91),58(1.03),0.0,60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.93),-,-,-,-,-,-,-,-,-,60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(1.01)
5545,-,-,-,-,-,-,60(1.14),60(0.91),0.0,-,-,-,-,-,-60(0.99),-,-,-,-,-,-,-,-,-60(0.92),-,-60(0.9),-60(0.98),-60(0.95),-60(0.93),-,-60(0.96),-,-,-60(0.91),-,-,-,-,-,-60(0.91),-60(1.0),-60(0.93),-60(0.98),-,-60(0.91),-60(0.98),-60(0.91),-,-60(0.99),-60(0.95),-,-,-60(0.91),-,-,-,-,0(0.9),-60(0.93),-,-,-,-60(0.92),-,-,-,-60(0.92),-,-60(0.91),-60(0.91),-,-60(0.92),-60(0.97),-,-,-60(0.91),-,-60(0.99),-60(0.91),-60(0.98),-60(0.98),-60(0.99),-,-,-,-60(0.98),-60(0.92),-,-,-,-,-,-,-60(0.91),-60(0.92),-,-,-4(0.95)
8243,-,-,-,-,-,-,60(1.05),-,-,0.0,-,-,-,-,-60(0.94),-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-60(0.91),-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-60(0.94),-,-60(0.92),-,-,-60(0.93),-,-,-60(0.93),-60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-60(0.93),-,-60(0.93),-60(0.93),-60(0.93),-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,1(0.97)
6266,-60(0.91),-,-,-,-60(0.91),-,54(1.07),-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,60(0.92),-,-,-,-,-,-,-,-,-,60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.97)
9052,-,-,-,-,-,-,49(1.0),-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.98)
7900,-,-,-,-,-,-,60(1.02),-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-56(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.99)
9971,-,-,-,-,-,-,58(1.04),-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-58(0.91),-,-,-,-,-,-,-,-58(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(1.01)
5246,-60(1.0),-,-,-,-60(1.0),-60(0.99),49(1.02),-,-60(0.99),-60(0.94),-,-,-,-,0.0,-,-,-,-,56(0.91),-,54(0.9),60(1.01),-,-,-,-,-,-,60(0.96),-,-,60(0.99),-,-,-,-,60(0.92),-,-,-,-,-,60(0.93),-,-,-,60(0.91),-,-,57(0.92),60(0.93),-,-,-,-,60(0.91),60(0.96),-,-,-,60(0.97),-,-,-,60(0.94),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.93),60(0.93),-,-,-,60(0.96),53(0.91),-,-,-,-,-,-,-,60(1.37)
8236,-,-,-,-,-60(0.91),-,60(1.03),-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.97)
