,7024,1800,5658,2018,7017,974,5796,545,3849,5439,2129,5921,1103,5738,2337,2980,2470,6266,1169,7016,668,4526,252,3134,2638,5129,2814,6061,4297,1192,5545,744,5450,1354,3482,26,1415,3527,781,3506,370,3310,171,6063,114,3367,1718,5246,1792,5275,890,3009,7731,5615,9134,3967,8626,5395,7030,4336,8767,2986,9001,5892,7560,2925,8084,6423,7741,7541,4357,9121,7627,6578,7429,7850,7108,7680,7940,8967,7973,7900,8317,8995,8086,9971,8467,8243,8236,7739,9052,7504,8829,7965,8419,2072,3723
7024,0.0,0(0.93),0(0.92),0(0.9),-,0(0.9),0(0.91),0(0.91),0(0.91),0(0.92),0(0.91),0(0.91),0(0.91),0(0.92),0(0.92),0(0.91),0(0.91),0(0.91),0(0.91),0(0.9),0(0.9),-,0(0.9),0(0.9),0(0.92),0(0.91),-,0(0.91),0(0.91),0(0.9),3(0.93),0(0.94),-40(1.01),-,-,-,0(0.9),0(0.94),0(0.9),0(0.91),-,-,-,-,0(0.92),-,-,-,0(0.91),-,0(0.91),-,-,0(0.91),-1(0.91),0(0.9),0(0.91),0(0.9),0(0.92),-,0(0.92),-1(0.9),-,-,0(0.93),0(0.91),0(0.91),-,0(0.92),0(0.91),0(0.91),0(0.9),0(0.92),0(0.9),-,1(0.9),0(0.91),0(0.91),-,0(0.91),-,0(0.9),-1(0.91),0(0.91),-,-,0(0.94),0(0.91),0(0.91),0(0.91),0(0.91),0(0.9),-,0(0.9),0(0.92),0(0.9),-
1800,0(0.93),0.0,0(1.0),0(0.97),3(1.02),0(0.92),0(1.03),0(1.0),0(0.94),0(1.01),0(1.0),0(0.95),0(1.01),0(1.22),0(0.95),0(1.16),0(1.02),0(0.95),0(0.95),0(0.93),0(1.02),0(0.93),0(1.02),0(1.0),0(1.02),0(1.02),0(1.0),0(0.94),0(1.05),0(1.0),0(1.07),0(1.2),-41(1.08),0(0.95),0(0.94),1(0.91),0(0.93),0(1.17),0(0.94),0(1.0),0(0.94),0(0.98),0(0.99),0(1.01),0(0.95),0(0.97),0(0.97),0(1.03),0(1.01),0(0.98),0(1.0),-,0(0.99),0(1.09),0(0.93),0(0.97),0(0.96),0(0.96),0(1.01),0(0.96),0(0.96),0(0.99),14(0.91),0(1.03),0(0.99),0(0.97),0(0.97),7(1.01),0(0.99),0(0.96),0(1.0),0(1.0),0(1.05),0(0.97),0(0.97),0(1.01),0(1.04),0(0.99),0(1.04),0(1.1),0(0.93),0(1.0),0(0.96),0(0.95),0(0.99),0(0.99),0(1.24),0(0.94),0(0.99),0(0.95),0(1.01),0(1.02),0(0.94),0(1.0),0(0.98),0(1.0),0(0.91)
5658,0(0.92),0(1.0),0.0,0(0.93),3(0.93),0(0.91),0(0.96),0(0.95),0(0.93),0(0.96),0(0.94),0(0.93),0(0.95),0(1.02),0(0.93),0(1.01),0(0.95),0(0.93),0(0.93),0(0.91),0(0.94),0(0.91),0(0.95),0(0.94),0(0.96),0(0.95),0(0.93),0(0.92),0(0.97),0(0.94),0(0.97),0(1.03),-40(1.04),0(0.92),0(0.9),1(0.9),0(0.91),0(1.01),0(0.92),0(0.95),0(0.91),0(0.92),0(0.92),0(0.93),0(0.93),0(0.92),0(0.92),0(0.94),0(0.95),0(0.93),0(0.95),-,0(0.93),0(0.98),-1(0.92),0(0.93),0(0.93),0(0.92),0(0.96),0(0.91),0(0.94),0(0.94),-,0(0.95),0(0.96),0(0.93),0(0.93),7(0.93),0(0.95),0(0.93),0(0.95),0(0.94),0(0.97),0(0.93),0(0.91),0(0.94),0(0.96),0(0.94),0(0.95),0(0.98),0(0.91),0(0.94),0(0.94),0(0.92),0(0.93),0(0.93),0(1.05),0(0.92),0(0.94),0(0.93),0(0.95),0(0.95),0(0.91),0(0.94),0(0.95),0(0.94),0(0.91)
2018,0(0.9),0(0.97),0(0.93),0.0,3(0.92),-,0(0.94),0(0.93),0(0.91),0(0.93),0(0.92),0(0.92),0(0.93),0(0.99),0(0.91),0(0.98),0(0.93),0(0.91),0(0.91),0(0.9),0(0.93),0(0.9),0(0.93),0(0.92),0(0.94),0(0.93),0(0.92),0(0.91),0(0.94),0(0.92),0(0.95),0(0.99),-40(1.02),0(0.9),-,-,0(0.9),0(0.98),0(0.9),0(0.93),-,0(0.91),0(0.91),0(0.92),0(0.92),0(0.91),0(0.91),0(0.93),0(0.93),0(0.92),0(0.93),-,0(0.92),0(0.95),-1(0.91),0(0.92),0(0.92),0(0.91),0(0.93),0(0.91),0(0.92),0(0.92),-,0(0.93),0(0.93),0(0.91),0(0.92),7(0.92),0(0.93),0(0.92),0(0.93),0(0.92),0(0.94),0(0.92),0(0.9),0(0.92),0(0.94),0(0.92),0(0.93),0(0.95),-,0(0.92),0(0.92),0(0.91),0(0.92),0(0.92),0(1.01),0(0.91),0(0.92),0(0.91),0(0.93),0(0.93),0(0.9),0(0.93),0(0.93),0(0.92),-
7017,-,3(1.02),3(0.93),3(0.92),0.0,-,-2(0.94),-2(0.93),0(0.9),-2(0.93),-2(0.93),-3(0.91),-2(0.94),0(1.14),0(0.92),-2(1.01),-2(0.94),0(0.92),0(0.91),0(0.9),-2(0.95),0(0.91),-2(0.94),-2(0.93),-2(0.93),-2(0.94),-2(0.94),-3(0.9),-2(0.95),-2(0.93),0(1.05),-2(1.02),-45(1.03),-3(0.91),0(0.93),-,0(0.92),0(1.11),0(0.91),-2(0.93),0(0.93),-2(0.93),-2(0.93),-2(0.94),-2(0.91),-2(0.93),-2(0.92),-2(0.96),-2(0.94),-2(0.93),-2(0.93),-,-2(0.93),-2(0.98),-4(0.9),-2(0.92),-3(0.91),0(0.93),-2(0.93),0(0.94),0(0.93),-2(0.93),0(0.91),-2(0.95),0(0.95),0(0.93),-2(0.91),0(1.05),-2(0.92),0(0.92),-2(0.93),-2(0.93),-2(0.95),-2(0.92),0(0.93),-2(0.94),-2(0.95),-2(0.93),-2(0.95),-2(0.99),0(0.91),-2(0.93),0(0.92),0(0.92),-3(0.93),-2(0.93),-3(1.08),0(0.91),-2(0.92),0(0.91),-2(0.93),-2(0.94),0(0.91),-2(0.93),0(0.94),-2(0.93),-
974,0(0.9),0(0.92),0(0.91),-,-,0.0,0(0.91),0(0.9),0(0.91),0(0.91),0(0.9),0(0.91),0(0.9),0(0.92),0(0.91),0(0.91),0(0.9),0(0.91),0(0.91),-,-,-,0(0.9),-,0(0.91),0(0.91),-,0(0.9),0(0.91),-,3(0.92),0(0.93),-40(1.01),-,-,-,-,0(0.93),-,0(0.91),-,-,-,-,0(0.91),-,-,-,0(0.91),-,0(0.9),-,-,0(0.91),-1(0.91),0(0.9),0(0.9),-,0(0.91),-,0(0.91),-,-,-,0(0.92),0(0.9),0(0.9),-,0(0.91),0(0.91),0(0.91),0(0.9),0(0.91),0(0.9),-,-,0(0.91),0(0.9),-,0(0.9),-,-,-1(0.91),0(0.9),-,-,0(0.93),0(0.9),0(0.9),0(0.91),0(0.9),-,-,0(0.9),0(0.91),-,-
5796,0(0.91),0(1.03),0(0.96),0(0.94),-2(0.94),0(0.91),0.0,0(0.96),0(0.92),0(0.96),0(0.95),0(0.93),0(0.96),0(1.08),0(0.93),0(1.05),0(0.97),0(0.93),0(0.92),0(0.91),0(0.96),0(0.91),0(0.97),0(0.95),0(0.97),0(0.96),0(0.95),0(0.92),0(0.98),0(0.95),0(0.99),0(1.06),-40(1.04),0(0.92),0(0.91),-,0(0.91),0(1.05),0(0.91),0(0.95),0(0.91),0(0.94),0(0.94),0(0.95),0(0.93),0(0.93),0(0.93),0(0.96),0(0.96),0(0.94),0(0.95),-,0(0.94),0(1.01),0(0.91),0(0.93),0(0.93),0(0.93),0(0.96),0(0.92),0(0.94),0(0.95),-,0(0.97),0(0.95),0(0.93),0(0.93),7(0.94),0(0.95),0(0.93),0(0.96),0(0.95),0(0.98),0(0.94),0(0.93),0(0.96),0(0.98),0(0.95),0(0.97),0(1.01),0(0.91),0(0.95),0(0.93),0(0.92),0(0.94),0(0.94),0(1.09),0(0.92),0(0.94),0(0.93),0(0.96),0(0.96),0(0.91),0(0.95),0(0.95),0(0.95),-
545,0(0.91),0(1.0),0(0.95),0(0.93),-2(0.93),0(0.9),0(0.96),0.0,0(0.91),0(0.95),0(0.94),0(0.92),0(0.95),0(1.05),0(0.92),0(1.03),0(0.95),0(0.92),0(0.92),0(0.91),0(0.95),0(0.91),0(0.95),0(0.94),0(0.96),0(0.95),0(0.94),0(0.91),0(0.97),0(0.94),0(0.98),0(1.03),-41(1.03),0(0.91),0(0.91),-,0(0.91),0(1.03),0(0.91),0(0.94),0(0.91),0(0.93),0(0.93),0(0.94),0(0.92),0(0.92),0(0.92),0(0.95),0(0.95),0(0.93),0(0.94),-,0(0.94),0(0.99),-1(0.91),0(0.93),0(0.92),0(0.92),0(0.95),0(0.92),0(0.93),0(0.93),-,0(0.95),0(0.95),0(0.93),0(0.93),7(0.93),0(0.94),0(0.93),0(0.94),0(0.94),0(0.97),0(0.93),0(0.92),0(0.94),0(0.96),0(0.94),0(0.96),0(0.99),0(0.91),0(0.94),0(0.92),0(0.92),0(0.93),0(0.93),0(1.06),0(0.91),0(0.93),0(0.92),0(0.95),0(0.95),0(0.91),0(0.94),0(0.94),0(0.94),-
3849,0(0.91),0(0.94),0(0.93),0(0.91),0(0.9),0(0.91),0(0.92),0(0.91),0.0,0(0.93),0(0.91),0(0.93),0(0.91),0(0.94),0(0.93),0(0.92),0(0.92),0(0.92),0(0.92),0(0.91),0(0.91),-,0(0.91),0(0.91),0(0.93),0(0.92),-,0(0.92),0(0.92),0(0.91),3(0.94),0(0.96),-40(1.02),-,-,0(0.9),0(0.91),0(0.96),0(0.91),0(0.92),-,-,-,-,0(0.92),-,0(0.9),0(0.9),0(0.92),0(0.9),0(0.92),-1(0.9),0(0.91),0(0.92),-1(0.92),0(0.91),0(0.92),0(0.91),0(0.93),-,0(0.93),0(0.91),-,-,0(0.94),0(0.91),0(0.92),-,0(0.93),0(0.92),0(0.92),0(0.91),0(0.92),0(0.91),-,1(0.9),0(0.92),0(0.91),0(0.9),0(0.91),-,0(0.91),0(0.92),0(0.91),-,0(0.9),0(0.95),0(0.91),0(0.91),0(0.92),0(0.92),0(0.91),0(0.9),0(0.91),0(0.93),0(0.91),0(0.9)
5439,0(0.92),0(1.01),0(0.96),0(0.93),-2(0.93),0(0.91),0(0.96),0(0.95),0(0.93),0.0,0(0.95),0(0.94),0(0.95),0(1.05),0(0.94),0(1.02),0(0.96),0(0.93),0(0.93),0(0.91),0(0.95),0(0.91),0(0.95),0(0.94),0(0.96),0(0.96),0(0.93),0(0.92),0(0.97),0(0.94),0(0.99),0(1.04),-40(1.04),0(0.92),0(0.91),1(0.9),0(0.91),0(1.04),0(0.92),0(0.95),0(0.91),0(0.92),0(0.92),0(0.93),0(0.94),0(0.92),0(0.93),0(0.95),0(0.96),0(0.93),0(0.95),-,0(0.94),0(0.98),-1(0.92),0(0.93),0(0.94),0(0.93),0(0.96),0(0.92),0(0.94),0(0.94),-,0(0.95),0(0.96),0(0.93),0(0.94),7(0.93),0(0.95),0(0.94),0(0.95),0(0.94),0(0.97),0(0.93),0(0.92),0(0.94),0(0.97),0(0.94),0(0.95),0(0.98),0(0.91),0(0.94),0(0.94),0(0.92),0(0.93),0(0.94),0(1.06),0(0.93),0(0.94),0(0.93),0(0.95),0(0.95),0(0.91),0(0.95),0(0.95),0(0.94),0(0.91)
