,9971,5796,1792,9001,370,8236,3527,7627,890,7741,1800,6063,2986,7560,2018,5615,8626,3482,9134,974,8086,2072,5658,171,7024,4357,8995,4526,7739,2129,7973,545,8829,3367,5738,26,7940,3967,5450,5395,5892,1103,7541,4336,7850,2337,5921,3134,5545,3506,8084,3310,7965,5275,5439,668,6266,7017,114,8467,2814,7429,5246,9121,2980,6423,1192,8967,252,8243,3849,7030,744,8419,5129,7900,7108,6578,2638,9052,1415,7680,1169,6061,2470,7504,781,8767,4297,7016,2925,8317,3009,1354,3723,7731,1718
9971,0.0,-,-,-,-,-,-,-,-,-,-,-60(0.94),-,-,-,-,-,-60(0.95),-,-,-53(0.9),-,-,-60(0.97),-,-,-,-,60(0.96),-,-,-,-,-60(0.94),-60(0.93),-,-48(0.91),-,-60(1.1),-,-60(0.92),-,-,-,-,-,-,-,60(0.92),-,-,-,-,-,-,-,-,-60(0.93),-,-,-60(0.93),-,-60(0.93),-,-60(0.92),-,-,-,-,60(0.9),60(0.95),-,60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.91),60(0.9),-,-,-,-
5796,-,0.0,-,-60(0.92),-,-,-,-,-,-,-,-60(0.97),-,-,-,-60(0.92),-,-60(0.98),-,-,-60(0.92),-,-,-60(1.0),-,-,-,-,58(0.9),-,-,-,-,-60(0.97),-60(0.96),-,-60(0.94),-,-60(1.12),-,-60(0.94),-,-,-60(0.91),-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-60(0.97),-,-,-60(0.96),-,-60(0.97),-,-60(0.94),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1792,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-36(0.92),-,-,-,-,60(0.91),-,-,-,-,-,-,-,-,-,-48(1.13),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9001,-,-60(0.92),-,0.0,-,-,-,-,60(0.91),-,-,-,-,-,-,-,-,-11(0.9),60(0.91),-,-,59(0.94),-,-21(0.92),-,60(0.95),-,-,60(1.02),60(0.94),-,-,-,-,-,60(0.94),-,-,-39(1.09),60(1.01),-,-,-,-,-,-,50(0.9),-,60(0.99),-,60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,59(0.94),-,-,-,60(0.95),60(1.02),60(0.95),60(0.97),60(0.91),60(0.93),-,-,-,-,-,-,-,-,-,60(0.95),-,-,60(0.97),60(1.0),-,-,60(0.97),60(0.99),-,-,-,-
370,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-31(0.9),60(0.91),-,-,53(0.9),-,-42(0.93),-,60(0.93),-,-,60(1.02),60(0.94),-,-,-,-,-,60(0.92),-,-,-60(1.12),60(0.97),-,-,-,-,-,-,-,-,60(0.97),-,60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.95),60(1.02),60(0.94),60(0.96),60(0.9),-,-,-,-,-,-,-,-,-,-,60(0.94),-,-,60(0.95),60(0.96),-,-,60(0.95),60(0.97),-,-,-,-
8236,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.91),-,-,-,-,-,-,-,-,-,-60(1.04),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3527,-,-,-,-,-,-,0.0,-,-,-,-,-46(0.92),-,-,-,-43(0.9),-,-47(0.93),-,-,-,-,-,-58(0.96),-,-,-,-,-,-,-,-,-,-48(0.92),-42(0.91),-,-46(0.9),-,-60(1.17),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-37(0.92),-,-,-46(0.91),-,-46(0.92),-,0(0.91),0(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7627,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-25(0.9),-,-,-,-,-,-30(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-58(1.1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
890,-,-,-,60(0.91),-,-,-,-,0.0,-,-,-60(0.95),-,-,-,-60(0.91),-,-60(0.96),-,-,-60(0.92),-,-,-60(0.97),-,-,-,-,-,-,-,-,-,-60(0.95),-60(0.95),-,-60(0.93),-,-60(1.06),-,-60(0.94),-,-,-53(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.95),-,-,-60(0.95),-,-60(0.95),-,-60(0.94),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-59(0.9),-,-,-,-,-,-,-,-,-,-,-
7741,-,-,-,-,-,-,-,-,-,0.0,-,-60(0.94),-,-,-,-60(0.92),-,-60(0.95),-,-,-,-,-,-60(0.97),-,-,-,-,-,-,-,-,-,-60(0.94),-60(0.93),-,-60(0.92),-,-60(1.1),-,-58(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.94),-,-,-60(0.93),-,-60(0.94),-,-49(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
