,3849,3134,7731,1718,6578,2986,6061,370,7627,2980,2925,5658,1792,4336,890,7541,1800,6266,171,4297,2470,7024,2814,5450,2018,6423,974,7017,545,5615,1103,5246,2337,5439,3310,7739,3482,5892,1169,6063,3367,5796,3506,7030,668,7850,114,4526,2129,5921,2638,4357,3527,252,7560,1192,5275,7016,744,5129,3009,7680,1354,7504,1415,7108,781,5395,8967,7900,7965,7973,7741,9052,7429,7940,5738,8084,5545,9134,3967,8086,8236,8419,8467,8626,9001,9971,8317,8995,8243,8829,9121,2072,26,8767,3723
3849,0.0,0,0,-1,0,-2,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-42,0,5,0,3,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,4,0,0,0,3,-2,-1,0,0,0,0,-1,13,0,-1,0,-1,0,0,0,0,50,0
3134,0,0.0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,-1,0,0,0,0,0,0,13,0,-1,0,0,0,0,0,0,50,0
7731,0,0,0.0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-41,0,5,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,-1,0,0,0,0,0,0,13,0,-1,0,0,0,0,0,0,50,0
1718,-1,0,0,0.0,0,-1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,-41,0,5,1,3,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,4,0,1,1,4,-1,0,0,0,0,0,0,13,1,0,1,0,0,0,0,0,50,0
6578,0,0,0,0,0.0,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-41,0,5,1,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,-1,0,0,0,0,0,0,13,0,-1,0,0,0,0,0,0,50,0
2986,-2,-1,-1,-1,-1,0.0,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,-40,1,6,2,4,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,3,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,5,1,2,1,5,0,1,1,1,1,1,1,14,2,1,2,1,1,1,1,1,51,1
6061,-1,0,0,0,0,1,0.0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,-41,1,6,1,3,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,2,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,5,0,1,1,4,-1,0,1,0,0,0,0,14,1,0,1,0,0,1,1,0,50,1
370,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-41,0,5,1,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,-1,0,0,0,0,0,0,13,0,-1,0,0,0,0,0,0,55,0
7627,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42,0,5,0,3,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,4,0,0,0,3,-2,-1,0,0,0,0,0,13,0,-1,0,-1,0,0,0,0,50,0
