,3849,974,545,5395,3009,7680,2072,5921,2129,5892,1103,5129,2980,6061,2337,7541,2470,5545,2986,7016,1169,7560,668,5796,2638,3967,252,3506,2814,7731,2925,7850,1192,3527,744,4297,1354,6063,1415,4336,781,4526,370,7504,1718,171,7739,1792,3134,890,7108,114,3310,26,7429,1800,3482,2018,5658,8317,3367,8829,6578,7900,7627,8084,7024,8086,4357,8236,5275,7973,7017,7940,5450,8995,7741,9134,5439,8467,5615,8419,5738,9001,6423,8243,6266,7030,7965,5246,9052,8626,8967,9121,9971,8767,3723,4296
3849,0.0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,3,-2,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,3,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-58,0,0,-2,0,0,0,0,0,13,4,-1,1,0,0,0,0,0,0,0,0,-2,0,0
974,0,0.0,-1,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,3,-2,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,-1,3,0,-1,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,-1,3,0,-44,0,0,-2,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,5,0,-15
545,-1,-1,0.0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-43,1,0,-1,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,5,0,1
5395,0,0,1,0.0,-1,0,-1,0,-1,-1,-1,-1,0,0,0,-1,0,3,-2,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,-1,-1,-2,3,0,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-54,0,-1,-2,0,-1,0,0,0,12,5,0,0,0,0,0,0,0,0,-1,0,-2,0,0
3009,-1,-1,-1,-1,0.0,1,1,1,1,1,1,-1,-1,-1,2,1,1,3,-1,1,1,1,1,1,-1,-1,1,-1,2,1,1,2,0,2,0,2,1,2,0,0,-1,0,1,-1,-1,2,-1,0,-1,2,1,-1,1,0,5,-1,0,1,-1,-1,1,1,-1,1,1,0,-1,1,1,0,-1,-1,4,1,-43,1,-1,-2,0,-1,2,-1,3,14,5,0,0,-1,-1,0,0,-1,-1,-1,2,0,0,-1
7680,0,0,0,0,1,0.0,0,0,-1,0,0,0,0,0,0,0,0,3,-2,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,-2,3,0,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,0,0,-44,0,0,-2,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,5,0,0
2072,0,0,0,-1,1,0,0.0,1,0,0,0,0,0,0,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43,0,0,-1,0,0,0,0,0,13,5,0,1,0,0,0,0,0,0,0,0,5,1,0
5921,1,0,0,0,1,0,1,0.0,-1,0,0,0,0,0,0,-1,0,3,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-3,0,-1,0,-1,0,-1,0,0,0,0,-1,-1,-2,3,-1,-2,-1,0,-1,0,-1,-1,0,0,0,-1,-1,0,0,-1,-1,2,0,-54,-1,0,-2,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,5,0,-1
2129,0,0,0,-1,1,-1,0,-1,0.0,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-42,0,0,-1,0,0,0,0,0,13,5,0,1,0,0,0,0,0,0,0,0,5,1,0
