,5545,9121,5796,8767,3506,8419,7024,9052,7017,8626,5129,8243,8995,5892,8084,4297,7940,3967,8086,7541,7973,6061,8967,9001,7731,9971,5450,8317,4526,7900,8236,6578,8467,7108,7965,5615,9134,3527,1792,5439,2986,4336,171,5658,890,6423,1800,7560,3009,7850,2018,7429,974,7627,3367,7030,26,5246,2072,7739,114,5738,545,3849,2129,4357,1103,3723,2337,7680,2470,6063,2980,6266,1169,5921,2638,3482,3134,5275,668,7016,2814,7741,252,5395,7504,1192,744,1354,1415,781,2925,370,1718,3310,8829
5545,0.0,-,-,-,-,-,-,-,-60(0.96),-,-,-,-,-60(0.93),-,-,-60(0.94),-,-60(0.92),-,-,-,-60(0.94),-,-,-,-60(1.03),-,-,-,-,-,0(0.9),-,-,-60(0.92),-,0(0.91),-,-,-,-60(0.95),-60(0.93),-,-,-60(0.93),-,-,-,-,-,-,-,-,-60(0.93),-,-,-60(0.93),-,-,-,-60(0.96),-,-,-,-,-,-,-,-,-,-60(0.93),-60(0.95),-,-,-,-,-60(0.94),-,-,-,-,-60(0.93),-,-,-,-,-,0(0.9),-,-60(0.91),-,-,-60(0.93),-,-60(0.92),-
9121,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.91),-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,-,-,-,-,-,-,-,-,0(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5796,-,-,0.0,-,-,-,-,-,-60(0.92),-,-,-,-,-60(0.91),-,-,-60(0.91),-,-,-,-,-,-60(0.92),-,-,-,-60(0.98),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.93),-60(0.91),-,-,-60(0.91),-,-,-,-,-,-,-,-,-60(0.91),-,-,-60(0.91),-,-,-,-59(0.92),-,-,-,-,-,-,-,-,-,-60(0.91),0(0.92),-,-,-,-,-60(0.91),-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-60(0.91),-
8767,-,-,-,0.0,-,-,-,-,-60(0.94),-,-,-,-,-60(0.92),-,-,-60(0.93),-,-60(0.91),-,-,-,-60(0.93),-,-,-,-60(1.0),-,-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-60(0.94),-60(0.92),-,-,-60(0.92),-,-,-,-,-,-,-,-,-60(0.92),-,-,-60(0.92),-,-,-,-60(0.94),-,-,-,-,-,-,-,-,-,-60(0.92),-60(0.93),-,-,-,-,-60(0.93),-,-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-60(0.9),-,-60(0.92),-
3506,-,-,-,-,0.0,-,-,-,-60(0.95),-,-,-,-,-60(0.93),-,-,-60(0.93),-,-60(0.91),-,-,-,-60(0.94),-,-,-,-60(1.0),-,-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-60(0.95),-60(0.92),-,-,-60(0.93),-,-,-,-,-,-,-,-,-60(0.92),-,-,-60(0.92),-,-,-,-60(0.96),-,-,-,-,-,-,-,-,-,-60(0.92),-60(0.94),-,-,-,-,-60(0.93),-,-,-,-,-60(0.93),-,-,-,-,-,-,-,-60(0.9),-,-,-60(0.92),-,-60(0.92),-
8419,-,-,-,-,-,0.0,-,-,-60(0.94),-,-,-,-,-60(0.92),-,-,-60(0.92),-,-60(0.9),-,-,-,-60(0.93),-,-,-,-60(1.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.94),-60(0.92),-,-,-60(0.92),-,-,-,-,-,-,-,-,-60(0.91),-,-,-60(0.92),-,-,-,-60(0.95),-,-,-,-,-,-,-,-,-,-60(0.91),-60(0.93),-,-,-,-,-60(0.92),-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-60(0.91),-,-60(0.91),-
7024,-,-,-,-,-,-,0.0,-,-60(0.94),-,-,-,-,-60(0.92),-,-,-60(0.92),-,-60(0.9),-,-,-,-60(0.93),-,-,-,-60(0.99),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.94),-60(0.92),-,-,-60(0.92),-,-,-,-,-,-,-,-,-60(0.91),-,-,-60(0.91),-,-,-,-60(0.95),-,-,-,-,-,-,-,-,-,-60(0.91),-60(0.93),-,-,-,-,-60(0.92),-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-60(0.91),-,-60(0.91),-
9052,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.96),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7017,-60(0.96),-,-60(0.92),-60(0.94),-60(0.95),-60(0.94),-60(0.94),-,0.0,60(0.95),57(0.9),60(0.96),56(0.91),-,60(0.93),-,0(0.92),-,-,60(0.92),-,60(0.95),0(0.92),-,-,-,-,60(0.94),-,-,57(0.9),-,0(0.92),-,-,-,60(0.95),0(0.92),60(0.9),60(0.97),-,0(0.91),-,60(0.94),-,-,0(0.91),60(0.93),60(0.94),-,-,-,56(0.91),56(0.9),-,60(0.96),60(0.92),-,-,60(0.95),60(0.93),0(0.93),-,60(0.97),-,60(0.92),-,-,60(0.95),-,60(0.95),-,0(0.91),-,60(0.92),60(0.95),60(0.94),-,-,-,-,-,-,60(0.94),-,60(0.9),-,-,60(0.94),-,-,-,-,-,-,-,-
8626,-,-,-,-,-,-,-,-,60(0.95),0.0,-,-,-,-60(0.92),-,-,-60(0.93),-,-60(0.91),-,-,-,-60(0.93),-,-,-,-60(1.0),-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-60(0.94),-60(0.92),-,-,-60(0.93),-57(0.91),-,-,-,-,-,-,-,-60(0.91),-,-,-60(0.92),-,-,-,-60(0.96),-,-,-,-,-,-,-,-,-,-60(0.91),-60(0.94),-,-,-,-,-60(0.92),-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-60(0.91),-,-,-60(0.92),-,-60(0.91),-
