,7850,9971,5796,9052,8829,9134,7739,8995,7024,9001,8467,9121,6578,370,8967,7017,1792,8086,890,5395,1800,8236,5738,2925,8419,2018,7016,171,7108,974,6423,2072,8767,1169,7504,3367,5921,3527,5658,3967,7900,545,7940,2129,5545,2986,6061,1103,5246,3506,8626,2337,7560,2638,7541,2980,7973,3482,5275,3009,8243,8084,3134,6063,2814,7741,7680,2470,7627,4297,7030,6266,4336,7429,7731,252,7965,1192,5129,3849,5892,744,5439,1354,4526,668,5450,4357,5615,1415,8317,3310,781,1718,26,114,3723,4296
6578,0(1.31),0(1.17),0(1.23),0(1.16),0(1.06),0(1.05),0(1.09),0(1.07),0(1.03),-13(1.0),0(1.11),0(1.2),0.0,0(1.09),0(1.37),2(1.23),0(1.24),0(1.16),0(1.24),0(1.11),0(1.18),0(1.17),0(1.1),0(1.12),0(1.12),0(1.12),0(1.06),0(1.14),0(1.25),0(1.01),1(1.33),0(1.18),0(1.09),0(1.09),0(1.23),0(1.15),0(1.09),0(1.1),0(1.21),0(1.14),0(1.16),0(1.21),0(1.26),0(1.2),0(1.31),0(1.17),0(1.09),0(1.23),0(1.23),0(1.18),0(1.14),0(1.08),0(1.25),0(1.29),0(1.14),0(1.49),0(1.04),0(1.02),0(1.17),-2(0.94),0(1.08),0(1.14),0(1.2),0(1.15),0(1.17),0(1.19),0(1.19),0(1.25),0(1.31),0(1.32),0(1.21),0(1.08),0(1.08),0(1.12),0(1.34),0(1.21),0(1.16),0(1.15),0(1.23),0(1.09),0(1.2),3(1.26),0(1.24),0(1.13),0(1.06),0(1.23),-40(1.11),0(1.24),0(1.35),0(1.11),0(1.1),0(1.14),0(1.05),0(1.19),3(0.96),0(1.08),0(1.01),60(2.28)
370,0(1.17),0(1.1),0(1.14),0(1.09),0(1.05),1(1.04),0(1.08),0(1.05),0(1.03),-13(1.01),0(1.1),0(1.12),0(1.09),0.0,0(1.22),2(1.13),0(1.15),0(1.09),0(1.14),0(1.09),0(1.13),0(1.1),0(1.07),0(1.09),0(1.1),0(1.07),0(1.05),0(1.08),0(1.15),0(1.01),1(1.15),0(1.1),0(1.08),0(1.07),0(1.13),0(1.08),0(1.07),0(1.09),0(1.12),0(1.08),0(1.09),0(1.12),0(1.15),0(1.12),0(1.2),0(1.09),0(1.07),0(1.14),0(1.14),0(1.11),0(1.08),0(1.06),0(1.19),0(1.17),0(1.1),0(1.28),0(1.03),0(1.02),0(1.1),-1(0.97),0(1.06),0(1.08),0(1.12),0(1.08),0(1.1),0(1.11),0(1.11),0(1.15),0(1.18),0(1.19),0(1.12),0(1.06),0(1.06),0(1.05),0(1.21),0(1.12),0(1.09),0(1.09),0(1.14),0(1.07),0(1.11),0(1.17),0(1.14),0(1.07),0(1.05),0(1.14),-40(1.11),0(1.15),0(1.22),0(1.08),0(1.09),0(1.08),0(1.04),0(1.11),1(0.97),0(1.06),0(1.0),60(2.79)
8967,0(1.73),0(1.41),0(1.51),0(1.36),0(1.14),0(1.12),0(1.19),0(1.16),0(1.06),-13(1.02),0(1.2),0(1.46),0(1.37),0(1.22),0.0,0(1.5),0(1.54),0(1.38),0(1.53),0(1.24),3(1.34),0(1.39),4(1.25),0(1.27),0(1.25),0(1.29),0(1.14),0(1.38),0(1.58),0(1.01),1(1.74),0(1.42),0(1.18),0(1.19),0(1.53),0(1.38),0(1.19),0(1.2),0(1.43),0(1.33),0(1.38),0(1.49),0(1.6),0(1.46),0(1.71),0(1.4),0(1.2),0(1.54),0(1.57),0(1.37),0(1.3),0(1.16),0(1.48),0(1.62),0(1.31),0(2.05),0(1.11),0(1.08),0(1.4),-,0(1.18),0(1.31),0(1.47),0(1.39),0(1.42),0(1.42),0(1.44),0(1.55),0(1.68),0(1.71),0(1.44),0(1.18),0(1.21),0(1.38),0(1.74),0(1.48),0(1.37),0(1.36),0(1.5),0(1.21),0(1.48),3(1.52),0(1.52),0(1.3),0(1.14),0(1.53),-40(1.13),0(1.54),0(1.8),0(1.23),0(1.22),0(1.34),0(1.12),0(1.43),3(0.97),0(1.14),0(1.01),60(2.77)
7017,0(1.46),2(1.25),2(1.33),2(1.22),2(1.08),4(1.07),2(1.11),2(1.09),3(1.04),-11(1.03),2(1.12),2(1.29),2(1.23),2(1.13),0(1.5),0.0,-2(1.32),-2(1.24),-2(1.33),-2(1.14),2(1.32),-2(1.24),2(1.19),-2(1.16),-2(1.14),-2(1.18),-2(1.08),-2(1.23),-2(1.34),-3(1.02),0(1.66),-2(1.26),-2(1.09),-2(1.12),-2(1.32),-2(1.23),-2(1.11),-2(1.15),-2(1.28),-2(1.2),-2(1.24),-2(1.3),-2(1.36),-2(1.29),0(1.48),-2(1.24),-2(1.12),-2(1.32),-2(1.33),-2(1.24),-2(1.19),-2(1.1),-2(1.28),-2(1.39),-2(1.18),0(1.63),-2(1.06),-3(1.04),-2(1.25),-7(0.97),-2(1.1),-2(1.19),-2(1.28),-2(1.25),-2(1.26),-2(1.26),-2(1.27),-2(1.33),-2(1.41),-2(1.44),-2(1.28),-2(1.11),-2(1.12),0(1.27),0(1.47),-2(1.3),-2(1.23),-2(1.22),-2(1.31),-2(1.12),-2(1.29),1(1.42),-2(1.32),-2(1.19),-2(1.08),-2(1.31),-43(1.16),-2(1.33),-2(1.47),-2(1.14),-2(1.12),-2(1.21),-2(1.06),-2(1.28),-7(0.96),-2(1.1),-3(1.02),60(3.49)
1792,0(1.45),0(1.26),0(1.33),0(1.23),0(1.1),0(1.09),0(1.14),0(1.11),0(1.06),-14(1.01),0(1.16),0(1.29),0(1.24),0(1.15),0(1.54),-2(1.32),0.0,0(1.23),0(1.35),0(1.18),0(1.24),0(1.25),4(1.15),0(1.19),0(1.19),0(1.18),0(1.1),0(1.22),0(1.37),0(1.02),1(1.47),0(1.27),0(1.15),0(1.14),0(1.33),0(1.23),0(1.14),0(1.15),0(1.29),0(1.21),0(1.23),0(1.31),0(1.38),0(1.29),0(1.47),0(1.26),0(1.14),0(1.34),0(1.36),0(1.25),0(1.2),0(1.13),0(1.36),0(1.41),0(1.22),0(1.68),0(1.08),0(1.06),0(1.25),-2(0.93),0(1.14),0(1.21),0(1.3),0(1.23),0(1.26),0(1.27),0(1.28),0(1.37),0(1.44),0(1.46),0(1.29),0(1.13),0(1.14),0(1.21),0(1.49),0(1.3),0(1.24),0(1.23),0(1.33),0(1.16),0(1.29),3(1.36),0(1.35),0(1.19),0(1.1),0(1.34),-40(1.13),0(1.36),0(1.52),0(1.16),0(1.17),0(1.2),0(1.09),0(1.28),3(0.98),0(1.11),0(1.02),60(2.65)
8086,0(1.32),0(1.17),0(1.23),0(1.15),0(1.05),0(1.03),0(1.08),0(1.05),0(1.02),-13(1.0),0(1.1),0(1.2),0(1.16),0(1.09),0(1.38),-2(1.24),0(1.23),0.0,0(1.24),0(1.1),0(1.17),0(1.16),0(1.09),0(1.11),0(1.1),0(1.12),0(1.05),0(1.15),0(1.25),0(1.0),1(1.34),0(1.18),0(1.07),0(1.07),0(1.23),0(1.15),0(1.07),0(1.09),0(1.2),0(1.14),0(1.16),0(1.21),0(1.26),0(1.2),0(1.3),0(1.16),0(1.08),0(1.23),0(1.23),0(1.17),0(1.13),0(1.06),0(1.22),0(1.29),0(1.12),0(1.5),0(1.03),0(1.01),0(1.17),-2(0.93),0(1.06),0(1.13),0(1.2),0(1.16),0(1.17),0(1.18),0(1.19),0(1.24),0(1.31),0(1.33),0(1.2),0(1.07),0(1.07),0(1.12),0(1.33),0(1.2),0(1.16),0(1.15),0(1.22),0(1.08),0(1.2),3(1.25),0(1.23),0(1.12),0(1.04),0(1.22),-40(1.1),0(1.24),0(1.36),0(1.09),0(1.08),0(1.14),0(1.03),0(1.19),3(0.95),0(1.07),0(0.99),60(2.14)
890,0(1.46),0(1.26),0(1.34),0(1.24),0(1.09),0(1.09),0(1.14),0(1.11),0(1.06),-13(1.01),0(1.16),0(1.3),0(1.24),0(1.14),0(1.53),-2(1.33),0(1.35),0(1.24),0.0,0(1.17),0(1.24),0(1.25),4(1.15),0(1.18),0(1.18),0(1.19),0(1.1),0(1.22),0(1.37),0(1.03),1(1.47),0(1.27),0(1.14),0(1.14),0(1.33),0(1.23),0(1.14),0(1.15),0(1.3),0(1.21),0(1.24),0(1.31),0(1.38),0(1.3),0(1.44),0(1.26),0(1.14),0(1.34),0(1.35),0(1.26),0(1.2),0(1.13),0(1.34),0(1.41),0(1.2),0(1.68),0(1.07),0(1.05),0(1.25),-2(0.94),0(1.13),0(1.21),0(1.3),0(1.23),0(1.26),0(1.28),0(1.29),0(1.36),0(1.44),0(1.46),0(1.3),0(1.13),0(1.12),0(1.21),0(1.48),0(1.31),0(1.24),0(1.23),0(1.33),0(1.15),0(1.3),3(1.37),0(1.35),0(1.2),0(1.09),0(1.33),-40(1.14),0(1.35),0(1.51),0(1.16),0(1.15),0(1.21),0(1.08),0(1.28),3(0.98),0(1.12),0(1.02),60(2.59)
5395,0(1.18),0(1.12),0(1.16),0(1.11),0(1.08),1(1.08),0(1.12),0(1.09),0(1.06),-14(1.03),0(1.14),0(1.14),0(1.11),0(1.09),0(1.24),-2(1.14),0(1.18),0(1.1),0(1.17),0.0,0(1.16),0(1.12),0(1.1),0(1.14),0(1.14),0(1.09),0(1.08),0(1.09),0(1.18),0(1.03),1(1.15),0(1.12),0(1.13),0(1.12),0(1.15),0(1.09),0(1.12),0(1.13),0(1.15),0(1.1),0(1.11),0(1.14),0(1.16),0(1.14),0(1.25),0(1.12),0(1.11),0(1.16),0(1.17),0(1.13),0(1.11),0(1.11),0(1.26),0(1.19),0(1.15),0(1.28),0(1.07),0(1.05),0(1.12),-1(1.01),0(1.11),0(1.12),0(1.14),0(1.08),0(1.11),0(1.14),0(1.14),0(1.19),0(1.2),0(1.2),0(1.15),0(1.1),0(1.09),0(1.06),0(1.25),0(1.14),0(1.11),0(1.11),0(1.16),0(1.12),0(1.12),0(1.22),0(1.18),0(1.1),0(1.08),0(1.17),-40(1.15),0(1.18),0(1.25),0(1.12),0(1.14),0(1.09),0(1.07),0(1.14),1(1.0),0(1.09),0(1.04),60(3.39)
1800,3(1.3),0(1.19),2(1.25),0(1.18),0(1.11),2(1.12),0(1.15),0(1.12),0(1.09),-13(1.06),0(1.16),0(1.21),0(1.18),0(1.13),3(1.34),2(1.32),0(1.24),0(1.17),0(1.24),0(1.16),0.0,0(1.19),0(1.26),0(1.16),0(1.17),0(1.15),0(1.11),0(1.16),0(1.25),0(1.07),-2(1.39),0(1.19),0(1.15),0(1.15),0(1.23),0(1.16),0(1.14),0(1.15),-2(1.22),0(1.16),0(1.18),0(1.22),-3(1.25),0(1.21),0(1.29),-2(1.21),0(1.14),0(1.23),0(1.24),0(1.2),0(1.17),0(1.14),0(1.28),-3(1.28),0(1.18),-3(1.44),0(1.1),0(1.07),0(1.19),1(0.99),0(1.13),0(1.17),0(1.21),0(1.16),0(1.18),0(1.21),0(1.21),-2(1.26),-3(1.29),-3(1.31),0(1.22),0(1.13),0(1.12),0(1.13),0(1.34),0(1.21),0(1.18),0(1.17),0(1.23),0(1.15),0(1.2),0(1.47),0(1.25),0(1.15),0(1.11),0(1.24),-40(1.19),0(1.25),-3(1.33),0(1.15),0(1.15),0(1.16),0(1.1),-2(1.22),1(1.04),0(1.13),0(1.06),60(5.73)
8236,0(1.33),0(1.18),0(1.25),0(1.17),0(1.06),0(1.06),0(1.1),0(1.08),0(1.04),-14(1.0),0(1.12),0(1.21),0(1.17),0(1.1),0(1.39),-2(1.24),0(1.25),0(1.16),0(1.25),0(1.12),0(1.19),0.0,0(1.1),0(1.13),0(1.13),0(1.13),0(1.07),0(1.15),0(1.27),0(1.01),1(1.34),0(1.19),0(1.1),0(1.1),0(1.24),0(1.16),0(1.1),0(1.11),0(1.22),0(1.15),0(1.17),0(1.22),0(1.27),0(1.21),0(1.32),0(1.18),0(1.1),0(1.24),0(1.25),0(1.19),0(1.15),0(1.09),0(1.26),0(1.31),0(1.15),0(1.51),0(1.05),0(1.03),0(1.18),-2(0.94),0(1.09),0(1.15),0(1.21),0(1.16),0(1.18),0(1.2),0(1.21),0(1.27),0(1.33),0(1.34),0(1.22),0(1.09),0(1.09),0(1.13),0(1.35),0(1.22),0(1.17),0(1.16),0(1.24),0(1.11),0(1.21),3(1.27),0(1.25),0(1.14),0(1.06),0(1.24),-40(1.12),0(1.26),0(1.37),0(1.12),0(1.12),0(1.14),0(1.05),0(1.21),3(0.97),0(1.09),0(1.01),60(2.39)
5738,4(1.2),0(1.11),4(1.16),0(1.1),0(1.06),1(1.05),0(1.08),0(1.07),0(1.04),-13(1.03),0(1.1),0(1.12),0(1.1),0(1.07),4(1.25),2(1.19),4(1.15),0(1.09),4(1.15),0(1.1),0(1.26),0(1.1),0.0,0(1.1),0(1.1),0(1.08),0(1.06),0(1.09),-4(1.16),0(1.02),-3(1.26),0(1.11),0(1.09),0(1.08),-4(1.14),0(1.09),0(1.08),0(1.1),-4(1.14),0(1.09),0(1.1),-4(1.13),-4(1.17),-4(1.12),0(1.2),-4(1.12),0(1.08),-4(1.14),-4(1.15),0(1.11),0(1.09),0(1.08),0(1.19),-4(1.19),0(1.11),-4(1.33),0(1.05),0(1.03),0(1.1),1(0.97),0(1.07),0(1.09),-4(1.12),0(1.09),0(1.1),0(1.12),-4(1.12),-4(1.16),-4(1.2),-4(1.22),-4(1.13),0(1.07),0(1.07),0(1.06),0(1.2),-4(1.13),0(1.1),0(1.09),-4(1.14),0(1.08),-4(1.12),-1(1.33),-4(1.15),0(1.08),0(1.06),0(1.14),-40(1.13),-4(1.16),-4(1.23),0(1.09),0(1.09),0(1.09),0(1.05),-4(1.12),1(1.0),0(1.07),0(1.02),60(3.77)
2925,0(1.21),0(1.13),0(1.17),0(1.12),0(1.07),0(1.07),0(1.11),0(1.09),0(1.05),-13(1.02),0(1.13),0(1.15),0(1.12),0(1.09),0(1.27),-2(1.16),0(1.19),0(1.11),0(1.18),0(1.14),0(1.16),0(1.13),0(1.1),0.0,0(1.14),0(1.1),0(1.08),0(1.1),0(1.19),0(1.02),1(1.19),0(1.13),0(1.12),0(1.11),0(1.16),0(1.1),0(1.11),0(1.13),0(1.15),0(1.11),0(1.12),0(1.15),0(1.18),0(1.15),0(1.27),0(1.12),0(1.1),0(1.18),0(1.18),0(1.14),0(1.11),0(1.1),0(1.26),0(1.21),0(1.15),0(1.33),0(1.06),0(1.04),0(1.13),-1(0.99),0(1.1),0(1.12),0(1.15),0(1.1),0(1.12),0(1.15),0(1.15),0(1.2),0(1.22),0(1.22),0(1.15),0(1.1),0(1.09),0(1.08),0(1.27),0(1.15),0(1.12),0(1.11),0(1.17),0(1.11),0(1.13),0(1.22),0(1.19),0(1.1),0(1.07),0(1.19),-40(1.13),0(1.19),0(1.27),0(1.11),0(1.13),0(1.1),0(1.06),0(1.14),1(0.99),0(1.08),0(1.02),60(3.11)
8419,0(1.19),0(1.12),0(1.17),0(1.12),0(1.08),1(1.09),0(1.13),0(1.1),0(1.07),-14(1.03),0(1.15),0(1.14),0(1.12),0(1.1),0(1.25),-2(1.14),0(1.19),0(1.1),0(1.18),0(1.14),0(1.17),0(1.13),0(1.1),0(1.14),0.0,0(1.1),0(1.09),0(1.1),0(1.18),1(1.04),1(1.17),0(1.13),0(1.14),0(1.12),0(1.16),0(1.1),0(1.12),0(1.13),0(1.16),0(1.11),0(1.11),0(1.15),0(1.17),0(1.15),0(1.25),0(1.13),0(1.11),0(1.17),0(1.17),0(1.15),0(1.12),0(1.11),0(1.26),0(1.21),0(1.15),0(1.3),0(1.07),0(1.05),0(1.12),-1(1.01),0(1.11),0(1.13),0(1.15),0(1.09),0(1.12),0(1.15),0(1.14),0(1.2),0(1.22),0(1.21),0(1.16),0(1.11),0(1.09),0(1.07),0(1.25),0(1.15),0(1.12),0(1.12),0(1.17),0(1.12),0(1.13),0(1.23),0(1.19),0(1.1),0(1.08),0(1.18),-40(1.15),0(1.19),0(1.25),0(1.12),0(1.14),0(1.1),0(1.08),0(1.15),1(1.01),0(1.1),0(1.04),60(3.82)
2018,0(1.24),0(1.13),0(1.19),0(1.12),0(1.05),1(1.04),0(1.08),0(1.06),0(1.03),-13(1.0),0(1.11),0(1.15),0(1.12),0(1.07),0(1.29),-2(1.18),0(1.18),0(1.12),0(1.19),0(1.09),0(1.15),0(1.13),0(1.08),0(1.1),0(1.1),0.0,0(1.05),0(1.11),0(1.19),0(1.01),1(1.24),0(1.14),0(1.08),0(1.08),0(1.17),0(1.11),0(1.08),0(1.09),0(1.17),0(1.11),0(1.12),0(1.16),0(1.2),0(1.16),0(1.23),0(1.13),0(1.07),0(1.18),0(1.18),0(1.14),0(1.11),0(1.07),0(1.21),0(1.23),0(1.11),0(1.37),0(1.03),0(1.01),0(1.13),-1(0.96),0(1.07),0(1.11),0(1.15),0(1.11),0(1.13),0(1.15),0(1.15),0(1.19),0(1.24),0(1.25),0(1.16),0(1.07),0(1.06),0(1.08),0(1.27),0(1.16),0(1.12),0(1.12),0(1.18),0(1.08),0(1.15),3(1.2),0(1.19),0(1.1),0(1.05),0(1.17),-40(1.11),0(1.19),0(1.27),0(1.09),0(1.09),0(1.1),0(1.04),0(1.15),2(0.96),0(1.07),0(1.01),60(2.33)
7016,0(1.1),0(1.06),0(1.09),0(1.06),0(1.04),1(1.04),0(1.07),0(1.05),0(1.03),-13(1.01),0(1.1),0(1.08),0(1.06),0(1.05),0(1.14),-2(1.08),0(1.1),0(1.05),0(1.1),0(1.08),0(1.11),0(1.07),0(1.06),0(1.08),0(1.09),0(1.05),0.0,0(1.04),0(1.09),0(1.01),1(1.07),0(1.06),0(1.08),0(1.07),0(1.08),0(1.04),0(1.07),0(1.09),0(1.09),0(1.05),0(1.06),0(1.08),0(1.08),0(1.08),0(1.14),0(1.05),0(1.06),0(1.09),0(1.08),0(1.08),0(1.06),0(1.06),0(1.17),0(1.12),0(1.09),0(1.17),0(1.03),0(1.02),0(1.06),-1(1.0),0(1.05),0(1.06),0(1.07),0(1.04),0(1.05),0(1.08),0(1.07),0(1.11),0(1.12),0(1.12),0(1.09),0(1.06),0(1.04),4(1.02),0(1.15),0(1.07),0(1.06),0(1.05),0(1.09),0(1.07),0(1.06),0(1.14),0(1.1),0(1.05),0(1.04),0(1.09),-40(1.12),0(1.1),0(1.14),0(1.07),0(1.08),0(1.04),0(1.03),0(1.08),-1(0.99),0(1.06),0(1.01),60(2.65)
171,0(1.32),0(1.16),0(1.22),0(1.14),0(1.04),0(1.02),0(1.07),0(1.05),0(1.01),-13(0.99),0(1.09),0(1.19),0(1.14),0(1.08),0(1.38),-2(1.23),0(1.22),0(1.15),0(1.22),0(1.09),0(1.16),0(1.15),0(1.09),0(1.1),0(1.1),0(1.11),0(1.04),0.0,0(1.24),0(0.99),1(1.34),0(1.17),0(1.06),0(1.07),0(1.22),0(1.14),0(1.07),0(1.09),0(1.19),0(1.13),0(1.15),0(1.2),0(1.25),0(1.19),0(1.31),0(1.15),0(1.07),0(1.22),0(1.23),0(1.15),0(1.11),0(1.06),0(1.22),0(1.27),0(1.12),0(1.49),0(1.02),0(1.01),0(1.16),-2(0.92),0(1.06),0(1.12),0(1.19),0(1.15),0(1.17),0(1.17),0(1.18),0(1.23),0(1.3),0(1.31),0(1.18),0(1.06),0(1.07),0(1.12),0(1.32),0(1.2),0(1.14),0(1.13),0(1.21),0(1.07),0(1.19),3(1.24),0(1.22),0(1.11),0(1.04),0(1.22),-40(1.09),0(1.23),0(1.35),0(1.09),0(1.08),0(1.13),0(1.03),0(1.18),3(0.94),0(1.05),-1(0.98),60(2.04)
7108,0(1.49),0(1.28),0(1.35),0(1.25),0(1.09),0(1.09),0(1.14),0(1.11),0(1.05),-13(1.01),0(1.16),0(1.31),0(1.25),0(1.15),0(1.58),-2(1.34),0(1.37),0(1.25),0(1.37),0(1.18),0(1.25),0(1.27),-4(1.16),0(1.19),0(1.18),0(1.19),0(1.09),0(1.24),0.0,0(1.01),1(1.5),0(1.29),0(1.14),0(1.14),0(1.36),0(1.25),0(1.14),0(1.15),0(1.31),0(1.22),0(1.25),0(1.33),0(1.41),0(1.31),0(1.49),0(1.27),0(1.14),0(1.36),0(1.38),0(1.27),0(1.21),0(1.12),0(1.36),0(1.44),0(1.22),0(1.73),0(1.07),0(1.05),0(1.27),-3(0.92),0(1.13),0(1.22),0(1.32),0(1.25),0(1.28),0(1.29),0(1.3),0(1.39),0(1.47),0(1.49),0(1.31),0(1.13),0(1.14),0(1.23),0(1.51),0(1.33),0(1.25),0(1.24),0(1.35),0(1.15),0(1.32),3(1.38),0(1.37),0(1.2),0(1.09),0(1.36),-40(1.13),0(1.38),0(1.55),0(1.17),0(1.16),0(1.22),0(1.08),0(1.3),3(0.97),0(1.11),0(1.01),60(2.5)
974,-1(1.02),0(1.0),0(1.03),0(1.01),0(1.01),2(1.03),0(1.03),0(1.02),0(1.01),-13(1.0),0(1.06),0(1.01),0(1.01),0(1.01),0(1.01),-3(1.02),0(1.02),0(1.0),0(1.03),0(1.03),0(1.07),0(1.01),0(1.02),0(1.02),1(1.04),0(1.01),0(1.01),0(0.99),0(1.01),0.0,5(1.04),0(1.01),-1(1.04),0(1.03),0(1.01),0(0.99),0(1.03),1(1.06),-1(1.04),-1(1.01),0(1.01),0(1.01),0(1.0),0(1.01),3(1.07),-1(1.01),-1(1.02),0(1.01),-1(1.0),-1(1.03),0(1.02),0(1.03),0(1.09),0(1.04),0(1.03),-1(1.03),0(1.0),-1(0.99),0(1.0),0(1.01),-1(1.02),0(1.02),0(1.01),1(0.99),0(0.99),0(1.03),0(1.01),-1(1.03),0(1.03),0(1.03),0(1.03),0(1.02),0(0.99),4(1.0),1(1.05),0(1.01),0(1.01),0(1.0),0(1.02),0(1.03),0(0.99),0(1.09),0(1.03),0(1.01),0(1.01),0(1.01),-40(1.11),0(1.03),0(1.03),0(1.02),-1(1.04),0(1.0),-1(1.0),0(1.02),0(1.0),0(1.04),0(1.0),60(2.33)
6423,1(1.7),1(1.36),1(1.47),1(1.31),1(1.08),7(1.06),1(1.11),1(1.09),5(1.06),-8(1.07),5(1.12),1(1.41),1(1.33),1(1.15),1(1.74),0(1.66),1(1.47),1(1.34),1(1.47),1(1.15),-2(1.39),1(1.34),-3(1.26),1(1.19),1(1.17),1(1.24),1(1.07),1(1.34),1(1.5),5(1.04),0.0,-1(1.38),-5(1.09),-1(1.12),-1(1.47),-1(1.34),-1(1.12),-1(1.14),-1(1.37),-1(1.28),-1(1.33),-1(1.43),-1(1.54),-1(1.41),-1(1.65),-1(1.35),-1(1.14),-1(1.47),-1(1.49),-1(1.32),-1(1.26),-1(1.1),-1(1.34),-1(1.55),-1(1.22),-1(1.93),-5(1.06),-5(1.05),-1(1.36),-7(1.05),-1(1.12),-1(1.25),-1(1.42),-1(1.37),-1(1.37),-1(1.36),-1(1.39),-1(1.47),-1(1.6),-1(1.63),-1(1.39),-1(1.12),-1(1.14),-1(1.44),-1(1.71),-1(1.43),-1(1.32),-1(1.31),-1(1.43),-1(1.14),-1(1.43),2(1.54),-1(1.45),-1(1.26),-1(1.08),-1(1.45),-45(1.21),-1(1.47),-1(1.69),-1(1.16),-1(1.13),-1(1.29),-5(1.06),-1(1.4),-7(1.03),-1(1.1),-6(1.04),60(5.35)
2072,0(1.36),0(1.2),0(1.27),0(1.18),0(1.06),0(1.05),0(1.1),0(1.07),0(1.03),-13(1.0),0(1.12),0(1.23),0(1.18),0(1.1),0(1.42),-2(1.26),0(1.27),0(1.18),0(1.27),0(1.12),0(1.19),0(1.19),0(1.11),0(1.13),0(1.13),0(1.14),0(1.06),0(1.17),0(1.29),0(1.01),-1(1.38),0.0,0(1.09),0(1.1),0(1.26),0(1.18),0(1.1),0(1.11),0(1.23),0(1.16),0(1.19),0(1.24),0(1.3),0(1.23),0(1.34),0(1.19),0(1.1),0(1.26),0(1.27),0(1.2),0(1.15),0(1.09),0(1.26),0(1.33),0(1.15),0(1.55),0(1.05),0(1.02),0(1.2),-2(0.93),0(1.09),0(1.15),0(1.23),0(1.18),0(1.2),0(1.22),0(1.22),0(1.28),0(1.35),0(1.37),0(1.23),0(1.09),0(1.09),0(1.15),0(1.38),0(1.24),0(1.18),0(1.17),0(1.26),0(1.1),0(1.23),3(1.29),0(1.27),0(1.15),0(1.06),0(1.26),-40(1.12),0(1.27),0(1.4),0(1.12),0(1.11),0(1.16),0(1.05),0(1.22),3(0.96),0(1.09),0(1.01),60(2.36)
8767,0(1.13),0(1.09),0(1.13),0(1.1),0(1.07),1(1.08),0(1.12),0(1.09),0(1.07),-14(1.03),0(1.14),0(1.11),0(1.09),0(1.08),0(1.18),-2(1.09),0(1.15),0(1.07),0(1.14),0(1.13),0(1.15),0(1.1),0(1.09),0(1.12),0(1.14),0(1.08),0(1.08),0(1.06),0(1.14),-1(1.04),-5(1.09),0(1.09),0.0,0(1.11),0(1.11),0(1.07),0(1.11),0(1.12),0(1.13),0(1.09),0(1.08),0(1.11),0(1.12),0(1.11),0(1.19),0(1.1),0(1.1),0(1.12),0(1.13),0(1.12),0(1.1),0(1.11),0(1.23),0(1.16),0(1.13),0(1.21),0(1.06),0(1.05),0(1.09),-1(1.03),0(1.1),0(1.11),0(1.11),0(1.05),0(1.08),0(1.12),0(1.11),0(1.16),0(1.16),0(1.16),0(1.13),0(1.1),0(1.08),4(1.04),0(1.19),0(1.11),0(1.09),0(1.09),0(1.13),0(1.11),0(1.09),0(1.2),0(1.15),0(1.08),0(1.07),0(1.14),-40(1.15),0(1.15),0(1.19),0(1.11),0(1.13),0(1.07),0(1.07),0(1.12),1(1.02),0(1.09),0(1.04),60(3.73)
1169,0(1.14),0(1.09),0(1.13),0(1.09),0(1.06),1(1.07),0(1.1),0(1.08),0(1.05),-13(1.02),0(1.13),0(1.11),0(1.09),0(1.07),0(1.19),-2(1.12),0(1.14),0(1.07),0(1.14),0(1.12),0(1.15),0(1.1),0(1.08),0(1.11),0(1.12),0(1.08),0(1.07),0(1.07),0(1.14),0(1.03),-1(1.12),0(1.1),0(1.11),0.0,0(1.11),0(1.07),0(1.1),0(1.11),0(1.12),0(1.08),0(1.09),0(1.11),0(1.12),0(1.11),0(1.2),0(1.09),0(1.09),0(1.13),0(1.13),0(1.11),0(1.09),0(1.1),0(1.22),0(1.16),0(1.13),0(1.23),0(1.05),0(1.03),0(1.09),-1(1.0),0(1.08),0(1.1),0(1.11),0(1.06),0(1.08),0(1.12),0(1.11),0(1.15),0(1.17),0(1.17),0(1.12),0(1.09),0(1.07),0(1.04),0(1.21),0(1.11),0(1.09),0(1.08),0(1.13),0(1.1),0(1.09),0(1.19),0(1.15),0(1.08),0(1.06),0(1.14),-40(1.14),0(1.15),0(1.2),0(1.1),0(1.11),0(1.07),0(1.06),0(1.11),1(1.0),0(1.08),0(1.03),60(2.97)
