r,t,solar,f0,f1
5.774742397587332,5.243650190114064,12000,283.394147494,284.2678852
1.9876329509906108,6.608700607902735,12000,614.882267506,617.101510954
2.016712854402051,9.597036474164137,12000,948.004394187,951.046216441
0.6909284045039292,9.215283018867927,12000,1276.92868149,1280.92770029
1.373120827051474,8.200830188679255,12000,1616.82896542,1622.49490556
2.8956255283178414,8.681667918858029,12000,1958.93462352,1966.17377879
3.0837002540220126,5.386909227306837,12000,2301.19362469,2310.00549554
0.21182475542322635,3.016578947368421,12000,2660.01548293,2670.66845062
1.6653121693121675,3.2467366841710485,12000,3012.4749355,3024.86849674
2.4119234116623147,1.8051996985682,12000,3386.48683997,3400.54317053
3.8238206544836335,0.9777441332323998,12000,3778.35817364,3792.18901932
0.5853316326530554,-0.9793233082706728,12000,4159.93278621,4175.66013227
0.44776279169342803,0.015124153498873215,12000,4541.08886122,4558.53727353
2.8859479233914493,0.4681989449886968,12000,4915.96678779,4935.4280805
2.4269255945887167,0.2514165390505357,12000,5279.45282989,5298.44992024
2.7022207986333515,0.20968229954614245,12000,5659.33410789,5680.25135202
3.596488614598876,0.6802571860816942,12000,6040.53850251,6063.41263806
1.0698173322005082,0.6105761940864293,12000,6417.09664623,6441.74597058
2.661124324324329,5.078357636224103,12000,6770.49221004,6797.1353674
8.055859292222937,8.510091743119263,12000,7116.98096082,7145.55414597
9.592380352644847,7.935309869931157,12000,7450.09270709,7479.98021641
4.755985768103828,6.627105666156205,12000,7785.81318923,7817.10543466
4.515149625935188,5.1997005988024005,12000,8125.28967262,8158.35967022
1.9888747346072209,6.559264816204043,12000,8459.40450086,8494.04869773
3.9144912427022622,3.4352941176470573,12000,8805.61990474,8841.8151993
4.8002913025385086,3.7708207831325344,12000,9155.49664333,9193.22692071
0.8277985851019446,2.304654654654656,12000,9515.13846572,9554.39493583
1.982121400455776,3.0764285714285737,12000,9867.19191864,9907.97646236
8.355097706032247,2.2499621498864446,12000,10226.8255298,10269.6976984
0.7466541978387231,1.644108761329304,12000,10596.1051056,10640.6349077
0.9557264601953848,1.8295779954785245,12000,10966.594051,11012.7333168
14.727693585219074,5.5815749811605135,12000,11316.0474154,11363.3563688
0.9914445133292018,5.412264150943378,12000,11655.699556,11704.1819663
0.02059676750932454,3.7046037735849113,12000,11990.4761335,12040.2643794
0.04094195414170634,2.487944066515498,12000,12330.7919452,12381.6275179
0.20469454694547434,2.9053962264150868,12000,12684.0536074,12736.5088146
0.025015467106619987,1.4441064638783263,12000,13043.5388143,13097.5424365
0.0066159852064926975,0.5782608695652168,12000,13408.7231061,13464.2503732
0.32493750000000204,2.1258237547892724,12000,13773.2296958,13830.6550191
0.18639850715322648,3.0535932721712573,12000,14141.7325667,14200.8858149
0.0527840558865825,2.832684973302824,12000,14498.6526905,14559.319593
0.028933800783666686,3.4239013107170373,12000,14850.0547264,14912.0571511
0.9214447417164022,4.669406906906897,12000,15202.1262577,15265.5603833
0.03269104444931021,4.060548048048044,12000,15538.5472195,15603.4414585
0.02435813034891389,3.8654538634658646,12000,15872.0929983,15937.9988273
0.08014753742677304,5.718468468468473,12000,16213.8873781,16281.2215943
2.4125572269457174,6.628668171557568,12000,16554.3520371,16623.1956339
4.122962962962964,6.436879699248125,12000,16891.7644487,16962.3381995
1.0687163375224342,-0.8312594840667709,12000,17242.5400917,17314.6463328
0.7071507150715085,-0.04600602863601826,12000,17598.1822276,17671.1896457
0.5468484187568173,1.8116078136739289,12000,17938.4768726,18010.6792217
0.6193301225919432,1.5703313253012026,12000,18285.7347515,18358.6492955
3.1975181199209306,4.72063909774436,12000,18629.8812314,18704.0387389
5.006072784103634,2.884902840059792,12000,18971.3928823,19047.0969404
2.041513157894732,2.677619760479042,12000,19316.7189628,19393.7546691
2.3450750163078897,2.6933383233532946,12000,19668.4752387,19746.928164
1.0515144863915649,2.3149103139013474,12000,20016.2485054,20095.773058
8.437549407114583,2.547776940467218,12000,20364.5316868,20445.7600612
0.3798974816135513,1.0773827534039346,12000,20719.8867773,20802.6259506
0.31311115983337057,0.9342835708927244,12000,21070.7582349,21153.1992992
0.32349619978284644,0.9816441441441436,12000,21427.756908,21511.2444113
0.3421579290841867,1.2255455229495875,12000,21774.7665206,21858.9142503
0.11579868708971534,1.3481481481481483,12000,22091.2505987,22174.8324397
0.25445852790749385,2.0918236623963824,12000,22393.2978422,22477.3615918
0.07243049705138993,2.4980855855855846,12000,22713.9656843,22799.2559001
0.0872879581151831,3.037416232315712,12000,23052.9489363,23139.9371113
0.29235695104317505,3.4824981301421083,12000,23378.7621154,23467.1043792
0.2357424714434065,4.309670164917544,12000,23703.3899535,23793.8155783
0.9536813643926774,4.449738805970153,12000,24034.3288461,24126.6105417
0.3664051207928983,5.039835575485805,12000,24359.1563117,24452.974509
3.2290228690228857,5.814296351451982,12000,24689.9568533,24785.8409796
4.138629737609343,6.379873039581777,12000,25011.2235598,25108.9533942
2.3729321709547184,11.155733432613532,12000,25305.227329,25404.8116133
2.3620187304890807,10.455717488789244,12000,25597.8496185,25699.1220003
2.040647706041106,9.751641791044793,12000,25901.508384,26005.0472335
4.8304492512479085,9.460485074626863,12000,26194.1551995,26299.1172689
1.9790880829015527,7.699138576779022,12000,26491.2970452,26598.1486788
1.3039087259666209,8.498421052631572,12000,26792.6009324,26901.1927507
0.6111527257594661,10.355860255447038,12000,27083.9494692,27193.9394916
1.345435641505511,10.325847776940462,12000,27383.3120362,27495.063148
1.0454318418314237,9.727375565610856,12000,27681.1140727,27794.7780437
