time,low,medium,high
0,28.805,31.43,33.73675
10,28.75275,31.3152,33.65375
20,28.96475,31.5057,33.77075
30,28.999,31.6019,33.74875
40,28.9865,31.6249,33.82925
50,28.992,31.6308,33.92975
60,28.94725,31.6437,33.935
70,28.90725,31.665,34.00825
80,29.24125,31.8607,34.17625
90,29.36575,31.9288,34.13275
100,29.452,32.0068,34.24025
110,29.53875,32.0141,34.241
120,29.5755,32.0058,34.212
130,29.5975,32.0089,34.18875
140,29.64175,32.0946,34.3045
150,29.5965,32.1064,34.28125
160,29.54425,32.0564,34.21475
170,29.4875,31.9716,34.20625
180,29.3615,31.8693,34.13725
190,29.21675,31.7814,34.053
200,29.2725,31.7779,34.03025
210,29.2335,31.6857,33.94475
220,29.135,31.5933,33.831
230,29.05925,31.4822,33.72975
240,28.978,31.3612,33.6025
250,28.90575,31.2858,33.40925
260,28.83775,31.3154,33.43425
270,28.80725,31.3072,33.3655
280,28.73675,31.2509,33.304
290,28.6535,31.1996,33.26675
300,28.57875,31.1405,33.2105
310,28.515,31.1413,33.20375
320,28.595,31.3179,33.345
330,28.5705,31.3229,33.39125
340,28.568,31.2726,33.35925
350,28.46475,31.1681,33.29575
360,28.3465,31.0608,33.22275
370,28.31775,30.9918,33.13875
380,28.34775,30.9871,33.188
390,28.27975,30.8819,33.11025
400,28.1345,30.793,33.04975
410,27.997,30.7357,32.9375
420,27.8805,30.6587,32.81875
430,27.75375,30.5552,32.70525
440,27.72325,30.5394,32.7405
450,27.67775,30.418,32.65
460,27.6325,30.3156,32.6415
470,27.58275,30.241,32.53775
480,27.5435,30.1546,32.43575
490,27.44575,30.1034,32.35625
500,27.4035,30.0985,32.31525
510,27.372,30.0958,32.21875
520,27.38225,30.1071,32.18825
530,27.3905,30.0751,32.13625
540,27.385,30.0087,32.0865
550,27.39,29.9719,32.0935
560,27.43875,30.0668,32.19725
570,27.451,30.1112,32.18
580,27.5285,30.1341,32.18875
590,27.59225,30.1373,32.19875
600,27.63625,30.1762,32.25425
610,27.74975,30.2229,32.28625
620,27.88775,30.3202,32.4265
630,27.99775,30.4285,32.54875
640,28.031,30.5394,32.696
650,28.09075,30.6309,32.77375
660,28.2605,30.716,32.8785
670,28.37575,30.8018,33.00625
680,28.40425,30.8881,33.16825
690,28.53175,31.0244,33.36175
700,28.79225,31.1516,33.51275
710,29.11275,31.2872,33.71075
720,29.3745,31.4254,34.027
730,29.5575,31.6281,34.21925
740,30.0775,32.1767,34.72775
750,30.718,32.8521,35.33325
760,31.26575,33.3594,35.784
770,31.62375,33.7548,36.176
780,32.02425,34.1772,36.53575
790,32.41625,34.6296,36.89275
800,32.856,35.082,37.4045
810,33.4565,35.6678,38.11725
820,34.01575,36.1704,38.73475
830,34.51025,36.6261,39.346
840,35.042,37.163,39.9395
850,35.549,37.6221,40.3725
860,36.1555,38.1742,41.1195
870,36.9485,39.004,42.2055
880,37.548,39.6117,43.00825
890,38.0075,40.0553,43.521
900,38.3345,40.3767,43.96775
910,38.5615,40.6581,44.19
920,38.605,40.7002,44.28175
930,38.7985,40.8617,44.46725
940,38.98125,41.0615,44.70375
950,39.14275,41.2005,44.8615
960,39.33575,41.3402,45.0265
970,39.52025,41.4502,45.2475
980,39.7,41.6113,45.4525
990,39.891,41.8809,45.6945
1000,40.04125,42.0531,45.84125
1010,40.138,42.1305,45.93725
1020,40.18325,42.1902,45.96325
1030,40.13475,42.2435,45.9805
1040,40.0205,42.2441,45.96525
1050,39.95425,42.2742,45.989
1060,39.90075,42.2789,46.04125
1070,39.86975,42.3389,46.071
1080,39.9075,42.4259,46.183
1090,40.01875,42.5262,46.36775
1100,40.14475,42.7098,46.66525
1110,40.229,42.8403,46.9055
1120,40.2225,42.8611,47.06325
1130,40.197,42.8601,47.09625
1140,40.06375,42.8402,47.04575
1150,39.92775,42.7855,47.05
1160,39.86425,42.7365,47.1005
1170,39.8085,42.6847,47.12175
1180,39.7165,42.6111,47.05625
1190,39.6285,42.5445,47.02675
1200,39.5815,42.4363,46.98225
1210,39.507,42.3695,46.9845
1220,39.43375,42.3784,47.03525
1230,39.4105,42.2925,47.02825
1240,39.29925,42.2099,46.91625
1250,39.247,42.1643,46.84625
1260,39.23625,42.1117,46.79425
1270,39.19575,42.0856,46.76925
1280,39.13275,42.0575,46.79225
1290,39.0705,42.0149,46.7885
1300,39.00125,41.9249,46.74425
1310,38.98675,41.8444,46.72525
1320,38.9475,41.7618,46.6775
1330,38.90625,41.7031,46.65275
1340,38.954,41.7522,46.71225
1350,38.95275,41.7507,46.69475
1360,38.867,41.7099,46.68025
1370,38.8175,41.6573,46.68725
1380,38.7335,41.5604,46.6785
1390,38.669,41.5263,46.6665
1400,38.6685,41.5424,46.696
1410,38.63175,41.5059,46.7205
1420,38.56025,41.4501,46.7145
1430,38.5015,41.4361,46.732
1440,38.4805,41.4336,46.7145
1450,38.46725,41.4601,46.66575
1460,38.5425,41.517,46.729
1470,38.53575,41.5013,46.8
1480,38.50425,41.4764,46.8305
1490,38.5415,41.437,46.7865
1500,38.462,41.3897,46.72575
1510,38.35675,41.3308,46.6535
1520,38.34475,41.3039,46.5765
1530,38.229,41.2614,46.4545
1540,38.0755,41.144,46.385
1550,38.0235,41.0474,46.325
1560,37.974,40.9228,46.21475
1570,37.978,40.8406,46.1675
1580,38.09975,40.8405,46.2115
1590,38.1215,40.8149,46.151
1600,38.01675,40.7608,46.0785
1610,38.02,40.7541,46.02725
1620,37.9155,40.6705,45.92375
1630,37.86775,40.6048,45.8595
1640,37.8205,40.675,45.89825
1650,37.75925,40.6877,45.818
1660,37.676,40.6578,45.7345
1670,37.6085,40.6096,45.68275
1680,37.4895,40.5563,45.59775
1690,37.482,40.5058,45.5785
1700,37.62425,40.6605,45.68625
1710,37.65775,40.7499,45.72825
1720,37.6675,40.7397,45.6715
1730,37.71175,40.7613,45.6805
1740,37.751,40.7544,45.6195
1750,37.7445,40.7046,45.5495
1760,37.76425,40.6832,45.4865
1770,37.75225,40.6435,45.459
1780,37.73025,40.5459,45.397
1790,37.78175,40.5212,45.34925
1800,37.79575,40.5189,45.286
1810,37.76975,40.529,45.2075
1820,37.8695,40.5749,45.229
1830,37.9535,40.5771,45.25725
1840,38.02175,40.5716,45.22225
1850,38.09325,40.6095,45.21
1860,38.17875,40.6777,45.2555
1870,38.25525,40.7786,45.3195
1880,38.38625,40.8259,45.4535
1890,38.621,40.9327,45.594
1900,38.79825,41.0549,45.73675
1910,38.98475,41.3142,45.8895
1920,39.1445,41.477,45.99575
1930,39.12075,41.5503,45.987
1940,39.03525,41.5771,45.96625
1950,39.162,41.7107,46.11025
1960,39.29675,41.8958,46.1915
1970,39.502,42.1243,46.3825
1980,39.65525,42.321,46.48825
1990,39.99675,42.5563,46.6445
2000,40.246,42.8368,46.79475
2010,40.4355,43.1004,46.9385
2020,40.69275,43.3914,47.16425
2030,40.94525,43.684,47.4125
2040,41.13875,43.9525,47.63125
2050,41.367,44.2037,47.844
2060,41.6825,44.529,48.094
2070,41.96125,44.766,48.3545
2080,42.23975,45.016,48.6535
2090,42.69575,45.3881,49.17825
2100,43.11725,45.738,49.767
2110,43.423,45.9507,50.023
2120,43.799,46.193,50.246
2130,44.07525,46.3564,50.34175
2140,44.326,46.462,50.3585
2150,44.6135,46.7228,50.4165
2160,44.68425,46.8111,50.413
2170,44.77225,46.9807,50.42875
2180,44.96025,47.2371,50.50625
2190,44.88775,47.2466,50.36575
2200,44.69725,47.1538,50.28575
2210,44.61925,47.0815,50.18625
2220,44.48575,46.9987,50.048
2230,44.35325,46.8923,49.94
2240,44.29625,46.9023,49.90325
2250,44.19175,46.7931,49.79825
2260,44.04025,46.6445,49.57525
2270,43.904,46.4857,49.439
2280,43.68975,46.2661,49.26075
2290,43.5105,46.0462,49.0235
2300,43.42225,45.9441,48.89175
2310,43.305,45.8286,48.74525
2320,43.0835,45.5973,48.57325
2330,42.81875,45.3761,48.335
2340,42.49525,45.0804,47.9955
2350,42.32125,44.8769,47.715
2360,42.19175,44.7611,47.6225
2370,41.91575,44.489,47.25
2380,41.60925,44.2274,46.94
2390,41.39525,44.0306,46.7765
2400,41.09925,43.7321,46.385
2410,40.77775,43.4802,46.00775
2420,40.80975,43.5235,45.99825
2430,40.6305,43.2637,45.8025
2440,40.2365,42.9372,45.438
2450,39.9255,42.6328,45.162
2460,39.5605,42.2923,44.832
2470,39.267,41.9479,44.4755
2480,38.99575,41.7083,44.23875
2490,38.60625,41.3514,43.82325
2500,38.381,41.0963,43.53675
2510,38.0825,40.8541,43.24525
2520,37.72875,40.5025,42.85675
2530,37.5455,40.2615,42.66475
2540,37.445,40.1027,42.59725
2550,36.9645,39.6715,42.17325
2560,36.5865,39.2245,41.772
2570,36.265,38.8941,41.41525
2580,35.9615,38.5912,41.0945
2590,35.27625,38.272,40.751
2600,34.996,37.9755,40.42475
2610,34.6515,37.5473,40.076
2620,33.9565,37.2469,39.76625
2630,33.6145,37.0007,39.4885
2640,33.4465,36.6516,39.122
2650,33.71575,36.313,38.729
2660,33.5315,36.1676,38.64375
2670,33.091,35.7826,38.256
2680,32.752,35.3792,37.85
2690,32.4395,35.0032,37.4725
2700,32.02425,34.6482,37.099
2710,31.75575,34.3512,36.743
2720,31.71925,34.3567,36.71675
2730,31.1295,34.1515,36.45475
2740,30.75025,33.806,36.12
2750,30.45475,33.4564,35.8115
2760,30.5065,32.9971,35.43775
2770,30.15075,32.6531,35.16475
2780,29.91575,32.4173,34.75
2790,29.67775,32.2023,34.45575
2800,29.323,31.9847,34.248
2810,28.9795,31.7469,33.926
2820,28.71375,31.4694,33.7445
2830,28.5295,31.2589,33.65075
2840,28.505,31.1727,33.5895
2850,28.374,31.0648,33.45
