time,low,medium,high
0,28.863,31.744818181818182,33.8932
10,28.857,31.698090909090908,33.8296
20,29.0582,31.919454545454546,33.8928
30,29.1174,32.03663636363636,33.942
40,29.0984,32.11145454545454,33.934
50,29.1278,32.147363636363636,33.9046
60,29.1046,32.097727272727276,33.896
70,29.1092,32.07,33.9046
80,29.3316,32.28781818181818,34.1662
90,29.4122,32.38845454545454,34.2974
100,29.4626,32.47118181818182,34.3106
110,29.5222,32.52136363636364,34.3092
120,29.549,32.512454545454545,34.235
130,29.5466,32.46418181818182,34.1624
140,29.5994,32.52390909090909,34.2016
150,29.5448,32.497727272727275,34.148
160,29.4386,32.44927272727273,34.1224
170,29.3984,32.35854545454546,34.05
180,29.3144,32.28636363636364,33.9988
190,29.2592,32.17409090909091,33.8736
200,29.2144,32.15890909090909,33.8172
210,29.1448,32.075,33.7258
220,29.0798,31.947454545454544,33.6898
230,28.991,31.85490909090909,33.6742
240,28.9072,31.75209090909091,33.5492
250,28.8346,31.671,33.5102
260,28.821,31.714363636363636,33.5372
270,28.746,31.712545454545456,33.5094
280,28.7162,31.66990909090909,33.4254
290,28.6564,31.61827272727273,33.3218
300,28.5798,31.55690909090909,33.2282
310,28.5454,31.544818181818183,33.2472
320,28.6964,31.66409090909091,33.4666
330,28.6976,31.64509090909091,33.4622
340,28.642,31.581272727272726,33.428
350,28.5856,31.531,33.3416
360,28.4566,31.48390909090909,33.2344
370,28.3422,31.446272727272728,33.1922
380,28.3798,31.48190909090909,33.263
390,28.349,31.422090909090908,33.1624
400,28.2698,31.332,33.1756
410,28.216,31.26109090909091,33.1538
420,28.1266,31.153727272727274,33.0704
430,28.0186,31.039545454545454,32.971
440,28.0286,30.985636363636363,32.93
450,27.9776,30.875818181818182,32.7894
460,27.9426,30.808545454545456,32.6602
470,27.8702,30.732636363636363,32.5544
480,27.8058,30.657272727272726,32.526
490,27.7272,30.534454545454544,32.506
500,27.728,30.549363636363637,32.5566
510,27.7254,30.583636363636362,32.576
520,27.6714,30.566909090909093,32.5512
530,27.6278,30.52227272727273,32.52
540,27.5912,30.470181818181818,32.4312
550,27.593,30.451818181818183,32.3928
560,27.6574,30.53181818181818,32.5224
570,27.654,30.583454545454547,32.5588
580,27.6944,30.55309090909091,32.5476
590,27.7224,30.54690909090909,32.573
600,27.8164,30.575545454545455,32.651
610,27.8674,30.638181818181817,32.6582
620,27.946,30.74909090909091,32.6842
630,28.0464,30.903363636363636,32.886
640,28.1078,31.078545454545456,33.0612
650,28.2112,31.215272727272726,33.1876
660,28.2764,31.29809090909091,33.2644
670,28.3764,31.366818181818182,33.3686
680,28.6012,31.506272727272727,33.6274
690,28.824,31.660090909090908,33.835
700,28.9644,31.780636363636365,33.9774
710,29.1722,31.953363636363637,34.136
720,29.4406,32.099909090909094,34.3866
730,29.6492,32.303363636363635,34.5842
740,30.2544,32.87263636363636,35.1692
750,30.991,33.612272727272725,35.9048
760,31.4264,34.04409090909091,36.3888
770,31.7618,34.406090909090906,36.8524
780,32.1744,34.79518181818182,37.2804
790,32.5896,35.24454545454545,37.7586
800,33.027,35.77490909090909,38.2762
810,33.623,36.39863636363636,38.9962
820,34.1854,36.95572727272727,39.5756
830,34.6968,37.50981818181818,40.1252
840,35.2968,38.086454545454544,40.6482
850,35.6814,38.58481818181818,41.2842
860,36.2006,39.191545454545455,41.9858
870,37.0338,40.12990909090909,42.888
880,37.6324,40.839636363636366,43.6912
890,37.9394,41.29418181818182,44.2616
900,38.1956,41.661545454545454,44.685
910,38.3772,41.88409090909091,44.9114
920,38.4466,41.90718181818182,44.9184
930,38.5562,41.89336363636364,45.1304
940,38.8878,42.318,45.354
950,39.0902,42.42127272727273,45.4522
960,39.2482,42.56190909090909,45.5814
970,39.469,42.71936363636364,45.569
980,39.7374,42.92527272727273,45.703
990,40.1042,43.14881818181818,45.9304
1000,40.3414,43.325545454545455,46.0432
1010,40.5324,43.392272727272726,46.0662
1020,40.6494,43.420272727272724,46.0826
1030,40.7442,43.405545454545454,46.081
1040,40.7762,43.41918181818182,46.0018
1050,40.7986,43.474,46.008
1060,40.799,43.490818181818184,45.9824
1070,40.844,43.55472727272727,46.0232
1080,40.968,43.65490909090909,46.1138
1090,41.0832,43.80109090909091,46.243
1100,41.231,44.005818181818185,46.5396
1110,41.4002,44.145545454545456,46.803
1120,41.4628,44.222,46.924
1130,41.4932,44.25909090909091,46.967
1140,41.4774,44.255818181818185,46.9712
1150,41.4662,44.284454545454544,47.01
1160,41.4466,44.26645454545454,47.005
1170,41.4432,44.26790909090909,47.0344
1180,41.3776,44.21518181818182,46.9914
1190,41.3038,44.156,46.9646
1200,41.2648,44.12381818181818,46.9754
1210,41.2146,44.10872727272727,46.9702
1220,41.2176,44.085454545454546,46.988
1230,40.9712,43.96381818181818,47.0034
1240,40.9668,43.86790909090909,46.9784
1250,40.9164,43.833,46.9894
1260,40.882,43.83681818181818,46.9812
1270,40.8118,43.85009090909091,46.9892
1280,40.7622,43.841727272727276,47.0436
1290,40.7122,43.82872727272727,46.9984
1300,40.6756,43.79272727272727,46.9626
1310,40.6162,43.777545454545454,46.9654
1320,40.5768,43.766363636363636,46.962
1330,40.5186,43.75690909090909,46.939
1340,40.51,43.801818181818184,47.053
1350,40.539,43.79890909090909,47.1188
1360,40.511,43.719272727272724,47.127
1370,40.497,43.69254545454545,47.1316
1380,40.433,43.60272727272727,47.0958
1390,40.3764,43.60509090909091,47.1154
1400,40.4318,43.60754545454545,47.1662
1410,40.432,43.527,47.1422
