time,low,medium,high
0,22.7066,24.162666666666667,26.5042
10,22.6838,24.11025,26.3522
20,22.798,24.180083333333332,26.3856
30,22.741,24.13525,26.399
40,22.6932,24.0725,26.3328
50,22.592,24.019333333333332,26.2984
60,22.544,23.967916666666667,26.21
70,22.4958,23.918583333333334,26.1152
80,22.4992,24.016083333333334,26.115
90,22.4468,24.013416666666668,26.0814
100,22.3766,23.986916666666666,25.9828
110,22.3354,23.946,25.9672
120,22.2664,23.891333333333332,25.8888
130,22.2092,23.819166666666668,25.8214
140,22.2054,23.813833333333335,25.798
150,22.1448,23.73675,25.7162
160,22.1138,23.7155,25.6338
170,22.0668,23.647583333333333,25.58
180,22.0464,23.581833333333332,25.5528
190,22.0238,23.523416666666666,25.5014
200,22.0238,23.50825,25.4728
210,21.9904,23.483833333333333,25.4344
220,21.8926,23.445416666666667,25.3666
230,21.8062,23.38575,25.3104
240,21.747,23.34225,25.2562
250,21.7106,23.30216666666667,25.2284
260,21.7512,23.351416666666665,25.2878
270,21.7142,23.334333333333333,25.2716
280,21.7544,23.317333333333334,25.2758
290,21.7622,23.2885,25.285
300,21.7346,23.2685,25.2456
310,21.678,23.24116666666667,25.26
320,21.7182,23.285083333333333,25.2892
330,21.721,23.271916666666666,25.2814
340,21.703,23.275916666666667,25.2654
350,21.705,23.269166666666667,25.256
360,21.6568,23.25125,25.216
370,21.6192,23.216083333333334,25.1394
380,21.6216,23.22275,25.1676
390,21.624,23.270166666666668,25.214
400,21.626,23.3075,25.229
410,21.6104,23.316666666666666,25.2092
420,21.5958,23.3115,25.1904
430,21.605,23.306583333333332,25.1722
440,21.651,23.325083333333332,25.211
450,21.6862,23.376333333333335,25.2204
460,21.7072,23.370833333333334,25.2322
470,21.7436,23.407166666666665,25.2602
480,21.7586,23.443083333333334,25.303
490,21.7748,23.49575,25.2714
500,21.8912,23.635833333333334,25.3114
510,21.9706,23.733083333333333,25.4584
520,21.94,23.815666666666665,25.5874
530,21.9442,23.873333333333335,25.6994
540,22.0432,23.912916666666668,25.7042
550,22.1384,23.931,25.7678
560,22.2208,24.007833333333334,25.7932
570,22.2964,24.052583333333335,25.8476
580,22.3408,24.09575,25.9246
590,22.3898,24.138416666666668,26.0138
600,22.4706,24.138083333333334,26.1314
610,22.6698,24.233333333333334,26.1702
620,23.0398,24.658083333333334,26.4642
630,23.4606,25.008333333333333,26.859
640,23.693,25.254583333333333,27.1626
650,23.8718,25.48175,27.3866
660,24.0878,25.694916666666668,27.5966
670,24.1982,25.933416666666666,27.85
680,24.476,26.214666666666666,28.15
690,24.8908,26.619416666666666,28.478
700,25.2508,26.977,28.8384
710,25.5548,27.27275,29.1034
720,25.9456,27.664666666666665,29.439
730,26.3434,28.0775,29.807
740,26.834,28.575583333333334,30.4112
750,27.3882,29.24041666666667,31.235
760,27.7718,29.655,31.7502
770,28.0774,30.030666666666665,32.1574
780,28.3538,30.309083333333334,32.4672
790,28.569,30.643166666666666,32.7588
800,28.833,30.937833333333334,33.1624
810,29.1222,31.25025,33.5816
820,29.354,31.5375,33.9354
830,29.57,31.76275,34.2302
840,29.7824,32.06425,34.573
850,29.9886,32.33025,34.877
860,30.2602,32.688916666666664,35.2286
870,30.5776,33.07208333333333,35.6206
880,30.684,33.27158333333333,35.9192
890,30.7896,33.47366666666667,36.1842
900,30.8616,33.60941666666667,36.4132
910,30.983,33.71658333333333,36.5986
920,31.0748,33.8045,36.7704
930,31.0926,33.86691666666667,37.0096
940,31.122,33.96816666666667,37.1834
950,31.1582,34.071,37.398
960,31.178,34.20283333333333,37.5156
970,31.261,34.33566666666667,37.7062
980,31.3086,34.501916666666666,37.931
990,31.343,34.6255,38.0822
1000,31.3506,34.679,38.1898
1010,31.3338,34.705083333333334,38.2236
1020,31.2646,34.71491666666667,38.2734
1030,31.2876,34.75358333333333,38.3612
1040,31.2952,34.769416666666665,38.424
1050,31.2832,34.643,38.124
1060,31.2106,34.608666666666664,38.1344
1070,31.154,34.69583333333333,38.505
1080,31.1066,34.68208333333333,38.5764
1090,31.02,34.66375,38.6482
1100,31.0034,34.705416666666665,38.6902
1110,30.9514,34.658,38.7068
1120,30.8316,34.63458333333333,38.686
1130,30.7956,34.64416666666666,38.672
1140,30.7754,34.66583333333333,38.7172
1150,30.7598,34.659083333333335,38.7858
1160,30.7688,34.67541666666666,38.8032
1170,30.7152,34.67358333333333,38.81
1180,30.6596,34.66766666666667,38.8222
1190,30.6336,34.66475,38.857
1200,30.605,34.66308333333333,38.846
1210,30.633,34.663583333333335,38.8884
1220,30.673,34.720333333333336,38.966
1230,30.6266,34.730916666666666,38.9894
1240,30.5638,34.73166666666667,39.017
1250,30.5348,34.75783333333333,39.0576
1260,30.5134,34.742,39.0478
1270,30.4696,34.75633333333333,39.0564
1280,30.4782,34.7575,39.0902
1290,30.446,34.776666666666664,39.014
1300,30.4312,34.757,38.9938
1310,30.4472,34.77291666666667,39.0292
1320,30.4696,34.78025,39.143
1330,30.4808,34.75366666666667,39.1696
1340,30.561,34.803916666666666,39.2474
1350,30.0004,34.7885,39.248
1360,29.977,34.78725,39.2462
1370,29.9564,34.79058333333333,39.212
1380,29.885,34.74625,39.1846
1390,29.8282,34.67966666666667,39.145
1400,29.7928,34.65925,39.0986
1410,30.3618,34.595333333333336,39.0552
1420,30.2732,34.50841666666667,38.9588
1430,30.2308,34.4685,38.9346
1440,30.134,34.42375,38.9216
1450,30.1122,34.346666666666664,38.8694
1460,30.0826,34.336666666666666,38.8704
1470,30.0414,34.33375,38.8416
1480,29.9838,34.30675,38.8072
1490,29.9586,34.25183333333333,38.7706
1500,29.8474,34.15991666666667,38.6722
1510,29.7606,34.11983333333333,38.6178
1520,29.7232,34.08825,38.6542
1530,29.6922,34.074666666666666,38.6516
