time,low,medium,high
0,25.07325,26.3166,27.6655
10,25.008,26.2678,27.5435
20,25.22825,26.4721,27.81525
30,25.258,26.5016,27.93875
40,25.2355,26.5108,27.9595
50,25.1745,26.5012,27.99375
60,25.11825,26.466,27.96925
70,25.02975,26.4811,27.95275
80,25.2305,26.6783,28.23975
90,25.30875,26.7142,28.3905
100,25.38175,26.7461,28.432
110,25.3435,26.7425,28.38725
120,25.28425,26.6982,28.3715
130,25.20825,26.6692,28.30575
140,25.185,26.6778,28.306
150,25.13325,26.6257,28.20025
160,25.11175,26.5319,28.2055
170,25.04275,26.524,28.154
180,24.91325,26.465,28.05425
190,24.8335,26.3835,27.98575
200,24.8745,26.3894,28.07725
210,24.85275,26.3325,28.02275
220,24.786,26.2595,28.013
230,24.72875,26.2007,27.96425
240,24.69725,26.14,27.794
250,24.60425,26.0945,27.6895
260,24.566,26.0998,27.71425
270,24.50425,26.0715,27.65025
280,24.49525,26.0391,27.55575
290,24.4755,26.0075,27.58025
300,24.421,25.9451,27.4985
310,24.3985,25.9045,27.45275
320,24.429,25.9014,27.46
330,24.39575,25.865,27.43175
340,24.364,25.8494,27.377
350,24.3465,25.8136,27.3505
360,24.31,25.7717,27.32925
370,24.25725,25.7693,27.2885
380,24.2805,25.7969,27.319
390,24.2615,25.7881,27.26825
400,24.2625,25.7772,27.249
410,24.26675,25.7596,27.27975
420,24.207,25.74,27.22075
430,24.1955,25.7415,27.1605
440,24.29625,25.8029,27.2405
450,24.30375,25.848,27.254
460,24.3075,25.85,27.2135
470,24.37975,25.8802,27.2395
480,24.4055,25.9469,27.27625
490,24.39525,26.0193,27.2955
500,24.48825,26.1949,27.49125
510,24.64025,26.371,27.775
520,24.749,26.4636,28.015
530,24.886,26.6059,28.13225
540,25.07275,26.6595,28.16575
550,25.2085,26.7625,28.18425
560,25.38125,26.9221,28.39175
570,25.6545,27.0864,28.61625
580,25.79325,27.1982,28.7595
590,26.13625,27.3404,28.93275
600,26.267,27.5055,29.16425
610,26.575,27.7519,29.43775
620,27.0495,28.2798,29.99375
630,27.555,29.1333,30.78925
640,27.9925,29.6309,31.31975
650,28.41675,30.0967,31.74
660,28.822,30.4852,32.0985
670,29.2015,30.858,32.583
680,29.80925,31.3567,33.11925
690,30.5945,31.9818,33.79625
700,31.2205,32.5108,34.419
710,31.74925,33.1007,35.04775
720,32.32175,33.667,35.65825
730,32.79725,34.1994,36.10575
740,33.526,34.9978,36.7745
750,34.50675,35.9962,37.751
760,35.18125,36.6517,38.4955
770,35.55875,37.1583,39.07925
780,35.857,37.5381,39.53625
790,36.0895,37.815,39.84
800,36.3555,38.085,40.1155
810,36.67125,38.3901,40.46625
820,36.946,38.6306,40.7065
830,37.06625,38.7458,40.8625
840,37.22925,38.9235,41.05
850,37.36075,39.0358,41.11625
860,37.50875,39.1556,41.15525
870,37.7055,39.3686,41.30075
880,37.74875,39.4741,41.41725
890,37.75475,39.4995,41.41125
900,37.70375,39.4477,41.371
910,37.62875,39.3911,41.31675
920,37.41825,39.2416,41.1305
930,37.267,39.1386,41.0285
940,37.14025,39.0253,40.8975
950,37.0835,39.0365,40.86775
