time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0.004130495026359704,0.004649446436839348,0.00466975132022085,0.004670176676981799,0.004589741214332174,0.005384480417571716,0.005217247044330074
1,0.00401601917254545,0.004552616822066817,0.004548582973518848,0.004597871427214588,0.004458446224124186,0.005217779645973814,0.00509402466212247
2,0.0038909655641146223,0.004483825158613352,0.004434352975822679,0.00448065697627259,0.00433707777838863,0.005049076679891388,0.004938923872964737
3,0.0038022625869717198,0.004405608393664371,0.004291799338449542,0.004382808091170389,0.004256534367030106,0.004882567505998193,0.004785684452935201
4,0.0036822330073188474,0.004286957881813236,0.004148156927633033,0.004242407066648824,0.004120126092175562,0.004763109172222881,0.0046209797918852725
5,0.003547015340534513,0.00415079587234016,0.004027982605908035,0.004105427545916721,0.003980125515892647,0.00460908232107158,0.004483895609870653
6,0.0034253706571349134,0.004030790880226785,0.003914468756875143,0.0039975609493828985,0.0038578752998323423,0.004412552442812201,0.0043309672842652795
7,0.0033013359097703748,0.003900548358693252,0.00380723259438833,0.003838119310549841,0.003732669225121405,0.00427972336205672,0.004130580335593115
8,0.0032281164602193926,0.003772156816137842,0.0036593362703186837,0.0036871081318280256,0.0035888754581033947,0.004143664903787556,0.004017844165579432
9,0.003103814895957378,0.0036097781197931664,0.0035058308710293664,0.0035000841296224014,0.003473221005000193,0.003986124466322511,0.0038439980832629746
10,0.003014920321109769,0.0035014614290616634,0.003404115192379613,0.003354866038035602,0.003323739310825409,0.0038428124306539783,0.0037313336049711577
11,0.002914160057003118,0.0033943562319739403,0.0032516721255946225,0.0032624763788554403,0.003215389378092345,0.003713484518167596,0.003577908142602388
12,0.0028464226415688887,0.003299781162625704,0.0031542258773392382,0.003136992179280992,0.003076711313113188,0.0035158990845752854,0.0034352071850512335
13,0.0027243303719483485,0.0031576127287908963,0.0030584151236329954,0.0029938821314672336,0.002993972262150111,0.0033782427073180948,0.0032815024877403476
14,0.0026330943152542566,0.003020987630644637,0.002952086298250784,0.0028800377465727726,0.002870698101689135,0.00322098281210886,0.0030865617769686043
15,0.002532315917023896,0.002907871403194718,0.0027995909811813304,0.002766921928386236,0.002786775845436645,0.003082856960833238,0.002949820548860195
16,0.002413008667009179,0.002761805538136228,0.002737640978208951,0.002607872827801765,0.0026923275447504162,0.0029452676692974513,0.0027747810318178505
17,0.002322387861278428,0.0026301288718608147,0.002652637220455643,0.002484257970113281,0.0025775359905115345,0.002774459895361045,0.0026672337749068732
18,0.002163297149109355,0.0024746241047426546,0.002567121490501999,0.0023759427235179463,0.0024673018804555655,0.002659879380264274,0.002554072569115042
19,0.0020640319220529995,0.002362238861392954,0.002445771707461231,0.00224960077118127,0.0023271215844109594,0.00248273222871227,0.0024114541026992076
20,0.0019794781968807186,0.0022020195435406885,0.0023123781317800412,0.0021642716236684864,0.0021617199436942494,0.0023270990765517884,0.002251532351147861
21,0.0018789243659157152,0.002038276409938205,0.0022140172744775036,0.0020682896630599534,0.002055134691564635,0.0021180470433106945,0.0020967745158963417
22,0.0018275271207570324,0.0019870389030021804,0.002072450638688609,0.001934220452659597,0.0019031957849358035,0.0020086554413166306,0.0019442438118739394
23,0.0017346120707297267,0.001867491215412382,0.0019627406703278307,0.00176815403940488,0.0018241887622093783,0.0018590491043202972,0.0018495110321976166
24,0.0016053018831036754,0.0017423977747417366,0.0018039406617805069,0.001627079934378917,0.0017086219463435884,0.0016765269973263554,0.0016506480541129086
25,0.0015073584980848957,0.0016244315520718342,0.0016614074152097856,0.0014973641524121234,0.001569046815102203,0.0015695565416584125,0.0015413305612330085
26,0.001381893739947853,0.001431360343899653,0.0015079649287959125,0.0013954401244534668,0.0014841023310261188,0.0014043343530426749,0.0014253307368312987
27,0.0012538014023430431,0.0013568826305800862,0.001370979852698336,0.0013040523022944885,0.0013474079585502913,0.0012832502768207786,0.0012474151863315565
28,0.0012012238413183357,0.0013278428422398405,0.0011994462407638063,0.0011505376468248282,0.0012488479400486593,0.0011839621008746075,0.0011226068939171872
