ID,energyConsumed,initialSOC,finalSOC,chargesPerDay,tripsPerDay,tripLength
GC10,2013.7857639693948,0.48810703666996974,0.8707466138090506,1.8616236162361623,6.56468797564688,11942.153025736146
CRG03,1691.5206855791962,0.37019230769230743,0.9278846153846155,0.4753199268738574,2.82943143812709,10337.687943262412
ST1082,4701.998490566038,0.4936923823386701,0.923338185346919,1.4774193548387098,2.8251599147121533,27644.96075471698
ST1107,1860.3949685534592,0.34776688453159055,0.8009259259259263,0.6538461538461539,3.3125,10658.442767295597
ST1087,2677.670836076366,0.33094479830148604,0.9466560509554142,0.6434426229508197,3.125514403292181,17778.846609611588
ST1062,1887.0477796514897,0.6386010362694294,0.931491076568795,1.1626506024096386,3.5508982035928143,11799.940978077571
ST1081,1823.9379586390928,0.4466911764705885,0.9132965686274506,0.5925925925925926,2.9683168316831683,12040.854569713141
ST1077,1091.0163590604027,0.43894830659536577,0.8101604278074863,0.7679671457905544,4.674509803921569,7257.610318791946
ST1084,1748.2697622996131,0.568903318903319,0.9233405483405461,0.9486652977412731,3.5540275049115913,9422.796019900497
ST1085,1708.5841924398626,0.4353333333333334,0.9673333333333333,0.5197505197505198,2.8585461689587426,9886.547766323025
ST1076,1949.6748178980229,0.4905303030303034,0.7453208556149731,1.51417004048583,3.776031434184676,14546.258584807492
ST1095,1186.9907918968693,0.5860927152317882,0.9227373068432669,0.3132780082987552,2.1504950495049506,8281.390423572744
ST1093,3205.4736211031177,0.23657024793388443,0.7548209366391184,0.49691991786447637,1.709016393442623,17715.38129496403
ST1092,958.0358142137661,0.5717852684144816,0.8764044943820224,0.577922077922078,3.5526838966202785,5537.811415780638
ST1103,1998.6864020819778,0.5898004434589796,0.8745380635624543,0.941544885177453,3.2020833333333334,12108.485361093039
ST1090,1596.6717850287907,0.49404761904761874,0.9220521541950109,0.6086956521739131,3.1197604790419162,11214.376839411389
ST1091,779.2020547945206,0.7909226190476198,0.9615575396825398,0.7304347826086957,2.914171656686627,4808.9
ST1086,2234.7118746232672,0.5426267281105986,0.935099846390169,0.8985507246376812,3.318,13198.828812537673
ST1104,1978.4329501915709,0.5529944838455482,0.9710401891252957,0.9,3.8872340425531915,13112.766283524905
ST1105,1732.0032467532467,0.48207171314741054,0.946879150066401,0.5468409586056645,3.9069767441860463,11228.566558441558
ST1005,935.547092125579,0.6075870646766175,0.9309701492537313,0.988929889298893,5.8700906344410875,6206.900411734431
GC07,1271.5292479108634,0.793370944992948,0.963563704748472,1.2985347985347986,3.9306569343065694,6997.203342618384
ST1003,2881.336585365854,0.4624931805782861,0.9367157665030006,1.1252302025782688,2.96242774566474,18292.87463414634
ST1014,1348.978025477707,0.5380244755244756,0.8726689976689972,1.0534069981583793,4.875776397515528,8211.529936305733
ST1021,1434.2912621359224,0.4258646063281832,0.8592715231788072,0.8342541436464088,3.635294117647059,10114.400889967637
ST1032,1578.905552918842,0.5038699690402477,0.9726522187822498,0.7037037037037037,4.661504424778761,10323.434741338397
SS10,634.5756602426839,0.4603524229074891,0.9151982378854625,0.4195933456561922,4.839378238341969,4152.791934332619
SS04,786.3771820448878,0.45465686274509803,0.8578431372549018,0.24954128440366974,2.8439716312056738,5139.074189526184
MC05,2095.736897274633,0.39914529914529934,0.8423076923076922,0.36585365853658536,1.509493670886076,13179.719077568134
SS09,955.6706012541498,0.6967731204258143,0.9545908183632735,0.9226519337016574,4.747810858143608,6345.821468092955
MC06,774.7706586826347,0.41774193548387095,0.8220430107526882,0.28440366972477066,2.593167701863354,4724.2119760479045
SS03,1018.275475225927,0.5951761987290586,0.8899480069324096,1.0587155963302752,5.61013986013986,6488.701153007168
