t,lf,lm,bl
0,0.25482871378023086,0.5604371681276911,0.051
1,0.2538149463617321,0.5602567940457565,0.051
2,0.254029619428345,0.5603061613531113,0.051
3,0.25322103175316585,0.5603490563653108,0.051
4,0.25296969690523036,0.5605745145146825,0.051
5,0.25296969690523036,0.5605745145146825,0.051
6,0.2525857644157764,0.5604596149175137,0.051
7,0.2512275076627986,0.5610663767777808,0.051
8,0.25095295511335586,0.5609905184154268,0.051
9,0.2512183567975735,0.5610238875120874,0.051
10,0.241862193465899,0.5527875505826603,0.051
11,0.24136305660246027,0.5527948761890861,0.051
12,0.24054426398749698,0.5528046371348951,0.051
13,0.2495060248233302,0.5605785275350638,0.051
14,0.24968927300184507,0.5605725148056068,0.051
15,0.2485893558441719,0.5604790567912502,0.051
16,0.24693283012693223,0.5603523053656111,0.051
17,0.24575186593890927,0.5599421373544998,0.051
18,0.24586681043916844,0.5600535557236634,0.051
19,0.2449928669884328,0.5600643120720669,0.051
20,0.24723129118833684,0.5602222305896363,0.051
21,0.244758135824151,0.5601937532145096,0.051
22,0.24448189982140076,0.5601473789464201,0.051
23,0.24503428358921425,0.5601525716748681,0.051
24,0.2448778105979709,0.5601304009923643,0.051
25,0.24407198388616638,0.5601982123588548,0.051
26,0.24347286448704966,0.5599752449180299,0.051
27,0.24316852542886497,0.5597986237420891,0.051
28,0.24316852542886497,0.5597986237420891,0.051
29,0.24282254243567614,0.5589985870372802,0.051
30,0.24133531658799445,0.5587936421328332,0.051
31,0.24077103217737122,0.5586972106059146,0.051
32,0.24074789600001348,0.5585651358361248,0.051
33,0.24040075944072034,0.5587115141115602,0.051
34,0.240729386498136,0.5586653004224277,0.051
35,0.24039150003885887,0.5587909916678827,0.051
36,0.23069432676723362,0.561966571101197,0.051
37,0.23182436328763628,0.5622571586924643,0.051
38,0.23214402994934985,0.5624228672814023,0.051
39,0.24057203556098863,0.5590193406022548,0.051
40,0.24217628938424718,0.5592901970920516,0.051
41,0.24104860599875788,0.5585754770614423,0.051
42,0.24098847441008323,0.5585499522568139,0.051
43,0.23172559783413277,0.549320960008973,0.051
44,0.23059059647113375,0.5493810637864184,0.051
45,0.23040193288505323,0.5493751433213176,0.051
46,0.23923305414822416,0.5587287188710813,0.051
47,0.23877837453118744,0.5586900491385475,0.051
48,0.23933044302614376,0.5589503835599979,0.051
49,0.2382165251955995,0.5584421652128976,0.051
50,0.23852305215122763,0.5568682408646154,0.051
51,0.2389779172528828,0.5570098404548184,0.051
52,0.23857876784794282,0.4203412073858939,0.051
53,0.23742626569869568,0.41990218290473386,0.051
54,0.23592178518063092,0.41966014949725244,0.051
55,0.23305951372099074,0.4190243401578317,0.051
56,0.23280617181371932,0.4185169683213915,0.051
57,0.2331955127232372,0.4185438390438307,0.051
58,0.23357985609798604,0.41862271053431144,0.051
59,0.23334084881630682,0.41897426330665366,0.051
60,0.2345066799389458,0.4185130054805471,0.051
61,0.23555786109181392,0.4188319317885388,0.051
62,0.23566519754540613,0.4190829011467148,0.051
63,0.23513297027767296,0.41896013245942937,0.051
64,0.2356465318751155,0.41905024756152937,0.051
65,0.23573052230240607,0.41886292778616097,0.051
66,0.23661164360908002,0.4183273965882414,0.051
