t,lf,lm,bl
0,0.0667590114615938,0.05500661275518939,0.055
1,0.06684144123423488,0.055006612846219154,0.055
2,0.06682406962621269,0.05500661172288425,0.055
3,0.06688926570719458,0.05500661179516108,0.055
4,0.06690939932825318,0.05500661062230526,0.055
5,0.06690939932825318,0.05500661062230526,0.055
6,0.06694003369538731,0.05500661090289353,0.055
7,0.06704722186498142,0.05500663641379786,0.055
8,0.06706866088730137,0.055006635420346936,0.055
9,0.06704793767155212,0.05500663518410922,0.055
10,0.06773282913000983,0.05500645244675743,0.055
11,0.06776659677011589,0.055006456765584806,0.055
12,0.06782135073681826,0.055006426418765526,0.055
13,0.06718036251110397,0.055006637818375524,0.055
14,0.06716633635661848,0.05500663842840267,0.055
15,0.06724999520678014,0.05500663150390072,0.055
16,0.06737355301653461,0.055006611325489396,0.055
17,0.06745981515160573,0.055006619984078436,0.055
18,0.06745148679273258,0.05500662169017836,0.055
19,0.06751443914424698,0.05500661940876568,0.055
20,0.0673515102501007,0.05500659023433567,0.055
21,0.067531201688955,0.05500659106221877,0.055
22,0.06755084858358373,0.055006591377806745,0.055
23,0.06751147508463302,0.055006592021784914,0.055
24,0.06752266326162648,0.05500659194164723,0.055
25,0.06757984398356748,0.05500659580927335,0.055
26,0.06762187818922935,0.0550065760257281,0.055
27,0.06764307293650426,0.055006602810379855,0.055
28,0.06764307293650426,0.055006602810379855,0.055
29,0.06766703805264099,0.05500660226333183,0.055
30,0.06776846481491579,0.055006535068449026,0.055
31,0.0678062662797286,0.055006535150571294,0.055
32,0.06780780809295626,0.05500650599989638,0.055
33,0.06783086480008127,0.05500653113431083,0.055
34,0.06780904112125305,0.05500652206194411,0.055
35,0.0678314778330529,0.055006593127242535,0.055
36,0.06841483770205,0.05500633642863519,0.055
37,0.068353084784452,0.05500636838997458,0.055
38,0.06833530958971037,0.055006379966093914,0.055
39,0.06781950669203263,0.05500662663397983,0.055
40,0.06771142973903854,0.05500662552889714,0.055
41,0.06778771884305448,0.05500663265850881,0.055
42,0.06779174460232848,0.05500663249356098,0.055
43,0.06835854943614676,0.05500632549134762,0.055
44,0.06842042122352789,0.05500630646715169,0.055
45,0.06843053968161264,0.05500630734759364,0.055
46,0.06790736009466755,0.05500661312022949,0.055
47,0.06793669852197996,0.05500660333472517,0.055
48,0.0679010432849637,0.055006642667717605,0.055
49,0.06797260267055796,0.05500665656623283,0.055
50,0.06795306254777417,0.05500657687019042,0.055
51,0.0679238539807592,0.05500657920269293,0.055
52,0.06794949845287922,0.055006574789499614,0.055
53,0.06802244436623965,0.05500657406921291,0.055
54,0.06811517943111894,0.055006641671880054,0.055
55,0.2502836614509546,0.23700222143802996,0.237
56,0.2502980638235775,0.23700222098669327,0.237
57,0.25027589543446344,0.23700221676838235,0.237
58,0.25025381798285523,0.23700221629412457,0.237
59,0.25026756961616653,0.23700221719418918,0.237
60,0.2501997926049455,0.23700222575534535,0.237
61,0.25013718310660366,0.23700222548839445,0.237
62,0.2501307107660639,0.23700222603478718,0.237
63,0.2501626600156822,0.23700222493706366,0.237
64,0.2501318373483254,0.23700222529350437,0.237
65,0.2501267645547088,0.23700221527625903,0.237
66,0.2500730096626973,0.23700221537026384,0.237
67,0.2500618064703233,0.23700222242211824,0.237
68,0.2500930230267741,0.23700116521777265,0.237
69,0.2500485439628203,0.23700121028971785,0.237
70,0.24989893533496535,0.23700121024301574,0.237
71,0.2499619575244559,0.23700121100746832,0.237
72,0.249844635207044,0.23700121913861916,0.237
73,0.24979329191936098,0.23700121858089235,0.237
74,0.2497019550159448,0.23700121883497535,0.237
75,0.24973345691003293,0.23700121910499433,0.237
76,0.24984188495203372,0.23700121660405193,0.237
77,0.06768611795447066,0.05500669304940731,0.055
78,0.06767944933400745,0.05500671391408585,0.055
79,0.06756031591414254,0.05500673332154513,0.055
80,0.06750554160756173,0.055006701781259895,0.055
81,0.06757756985091636,0.05500666374019584,0.055
82,0.06757756985091636,0.05500666374019584,0.055
83,0.06749365325201652,0.05500662277633028,0.055
