load flattening,loss minimising,uncontrolled,total Load,delta,predicted delta
676.8529254999996,658.6446697999996,976.3744987000005,57825.73032450005,18.208255699999995,100.0182986501644
621.9391106000011,607.1047867000008,1015.4682736999994,58076.69350939998,14.8343239000003,90.43086522136454
589.9236255999998,571.6495354,1025.9249055999992,52246.49800439995,18.27409019999982,75.43025496140355
720.5114617000005,705.824551399999,1162.9876431999994,61397.28425830001,14.6869103000015,103.9839021234049
643.2190193999996,631.9904725999996,1136.6261741000008,58373.22910060001,11.228546800000004,95.00597557936865
673.7345217999999,659.8675030000002,1196.0369249000012,58508.12768820001,13.867018799999755,99.24944787488296
513.7168691000007,503.89684819999917,876.8497379000004,50585.1813709,9.820020900001566,66.33772657647403
857.5888572999993,842.7725789000002,1353.0296632,65249.74806270003,14.816278399999078,127.53272148847208
544.5966549999999,526.5817643000001,816.8899025000002,52115.47387500004,18.014890699999796,87.4948357679064
558.3886498999998,546.4148477000011,936.5516990000003,56503.10623010003,11.973802199998659,86.8757136480835
575.3133974000007,563.2301255000003,858.6877336000008,55993.356922600025,12.08327190000034,88.52506844230975
759.1200484999991,753.8476572999996,1345.2398785,61550.24034149993,5.272391199999561,95.0323543559967
623.4652747999997,608.6367293000008,1016.9744054999998,55274.287515200056,14.828545499998995,92.79226421419135
623.1225684999999,612.6824923000001,1011.7627007000007,57554.648651500116,10.440076199999794,104.17555946321971
736.7929562999993,730.9090328999985,1317.6302270999995,61045.234583699916,5.883923400000867,97.51629600064108
712.3868738000006,705.2371705000011,1317.5169272000014,59521.05350620003,7.149703299999487,81.96082963016886
723.1108652000005,712.9002925000016,1192.7464677999997,61958.14169479992,10.21057269999892,103.68242941578548
659.9850171999997,646.5852223000007,1168.6691066000005,56333.94206280006,13.399794899998938,87.53403569261683
769.3196344999997,755.6225937000011,1240.0864241999998,62198.97469550007,13.697040799998604,118.49346437206725
610.4899328999988,596.9428654000003,959.2647015999992,54726.91765710002,13.547067499998548,87.64116333621577
686.3543757999992,671.6511986,1218.2445776000002,58045.92642419989,14.703177199999118,99.52957084802026
600.4804239000002,586.1968347000001,956.9109676000002,55543.77384609999,14.283589200000165,83.32601416744642
685.2063669999998,673.3905471999982,1144.102614699999,58237.23139299994,11.815819800001577,100.27912400840293
635.5817748,625.3452175999992,1069.8618197,55829.654375200036,10.236557200000789,103.08179571028252
820.5808269000006,803.2192740000005,1253.7508307999992,64688.27477310001,17.361552900000106,130.54401248969464
666.6781687999987,654.3566342999999,1098.9704531999994,58073.6481112001,12.321534499998847,112.80678187997569
641.9368816999994,620.4882672,1136.9189559999995,56605.552178299986,21.448614499999394,125.44432077130094
598.7668203000003,572.5104790999993,950.521743400001,54469.78497969997,26.256341200000975,105.10876373880008
656.9487916999987,646.9358975999991,1123.8628984000013,58697.80087830011,10.012894099999585,101.52050238317996
764.1467493000001,752.8144115000006,1208.6594670999998,62765.817560700016,11.33233779999955,115.30134449249087
683.5157807999999,664.9571945000002,1054.4717742000016,58927.96646920001,18.55858629999966,128.25317506848626
507.9754427999991,492.70019069999927,891.0989869000013,51597.337387200016,15.275252099999818,86.7492445926962
650.6797666000011,630.4292734,1047.3744302000007,57884.38416340005,20.250493200001074,108.8740576234085
577.0158757000013,566.8496819000013,970.2411818999998,54727.21712430009,10.166193799999974,81.81507766296133
655.3586119000018,642.2046233000015,1055.6923688999998,57241.70798809999,13.153988600000389,108.3551002942971
597.0613310999994,583.5800301000005,1011.8993647000004,56157.856838899934,13.481300999998894,79.15430240960931
647.3315330000001,636.3686565000002,1058.3873601000012,58082.07721699996,10.962876499999993,105.3332969691269
704.2064042999992,690.410006999999,1100.0026405999984,60044.743095699945,13.796397300000194,101.46633267173264
864.1569819000001,847.3827036999999,1441.9697989,65863.0031780999,16.774278200000253,135.8968522381084
564.7687078999993,555.742558,1064.2504559999998,53202.87564210001,9.026149899999268,66.17487927174393
580.2103147000007,567.7299468000008,972.6165279999998,55609.10395529997,12.48036789999992,81.36404269227805
622.5708323999984,608.0403508000004,1010.9035261999999,55486.94094760004,14.530481599997984,90.48531771528162
558.317995800002,544.321935499999,920.6297977000005,53959.47474419997,13.996060300003023,89.3847346877231
507.8358436999994,494.06129299999964,850.3922194,50719.81378630003,13.774550699999736,70.0240686648622
746.7675265000007,744.415257900002,1181.7447258,60028.481293499986,2.3522685999987516,100.23296592996596
547.3749669999996,535.3985534000002,887.6302814000007,52667.336913000036,11.976413599999432,86.53549735514238
672.7271554000001,661.1374124000005,1202.7042860000017,56018.767174599954,11.589742999999658,101.23678223918331
697.2547572999999,685.3033239999987,1164.666307099999,59684.70984270005,11.951433300001213,100.9915450679569
507.0584903000007,492.93019819999887,826.8742345999991,52590.276559699945,14.12829210000183,82.83054623812728
626.230049899999,608.9696218000009,1176.0829121000008,58030.90811010002,17.26042809999808,119.42716580714006
695.4094317000003,689.0562631999987,1195.5980845000006,58936.66116830004,6.353168500001516,92.73593847070052
732.2570091000002,721.7242428999987,1192.4971768000007,61258.15810089999,10.53276620000156,110.16047919182246
575.7311133000003,563.5295125000005,964.207458400001,53138.892596699974,12.201600799999824,70.55719850438646
494.78018510000044,476.7463699999998,777.1650801000001,52027.920834899975,18.033815100000652,88.90067821022961
572.6426614000007,564.8292910999994,1068.2146558000004,53844.06470859999,7.813370300001338,65.81856598355633
578.4963789999995,568.8410898000006,996.883646800001,56891.73213100005,9.655289199998833,84.31687153406162
586.5356921999999,578.5877773000001,1071.5258947000016,55361.89602780003,7.947914899999773,72.47009354991326
