,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3
CommuteAM,0.0060121,0.028193,0.071642,0.15949,0.14023,0.036257,0.016499,0.017441,0.024247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CommutePM,0,0,0,0,0,0,0,0,0.0006,0.032493,0.033484,0.043812,0.090198,0.14758,0.070059,0.0244,0.01674,0.013703,0.012742,0.0076322,0.0019524,0.0014351,0.0013685,0.0017937
EducationAM,8.00E-05,0.00017218,0.0010945,0.057391,0.37436,0.045166,0.0090063,0.012723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EducationPM,0,0,0,0,0,0,0,0.0014,0.019006,0.01113,0.057686,0.32554,0.049647,0.02172,0.0067821,0.0025422,0.0025632,0.0011017,0.00041395,0.00028759,1.31E-05,4.78E-05,1.42E-05,0.00010948
